TopDepth,BotDepth,_CAL,_GR,_SP,_LLD,_LLS,_AC,_DEN,_PEF,Lith_Section
1539.9,1541.98,8.88223,86.9169,-13.5853,6.46494,6.64332,103.892,2.47136,0.193384,mudstone
1541.98,1542.61,8.82884,93.5062,-13.4115,6.28921,6.50425,104.807,2.46564,0.195044,mudstone
1542.61,1544.95,8.71898,98.5294,-13.8543,6.67771,6.77225,100.711,2.47614,0.196316,mudstone
1544.95,1549.31,8.62965,95.9153,-13.57,6.23956,6.3746,106.034,2.44368,0.198244,mudstone
1549.31,1550.13,8.57523,82.3093,-14.46,7.58397,7.45094,95.3351,2.46182,0.199928,mudstone
1550.13,1551.01,8.57215,81.3532,-13.5886,6.8235,6.90625,102.433,2.43699,0.200893,mudstone
1551.01,1553.66,8.5701,76.2792,-14.9422,8.34443,8.18902,94.4711,2.44081,0.203107,silty mudstone
1553.66,1554.67,8.56599,81.3407,-12.8014,7.32628,7.53062,100.43,2.42267,0.206541,mudstone
1554.67,1555.24,8.54545,70.5353,-14.0489,9.81178,9.58841,92.2548,2.40167,0.21397,silty mudstone
1555.24,1556.19,8.49822,70.9661,-14.1408,9.45952,9.6,97.7134,2.38543,0.219985,mudstone
1556.19,1558.52,8.52081,85.3329,-14.108,13.3217,14.0314,99.3556,2.35202,0.352695,oil shale
1558.52,1559.6,8.53724,97.3173,-11.9179,12.0207,14.1647,110.325,2.28996,0.486966,mudstone
1559.6,1565.09,8.47255,112.176,-12.4843,28.0701,34.4442,108.442,2.2489,0.490246,oil shale
1565.09,1567.11,10.1554,101.795,-13.6203,6.77228,7.53351,109.736,2.08946,0.492003,mudstone
1567.11,1568.43,9.88949,104.661,-12.774,8.81884,8.72285,116.869,2.08277,0.49253,mudstone
1568.43,1569.38,10.4039,99.8182,-13.1163,6.74154,6.86497,117.384,2.05795,0.492652,mudstone
1569.38,1570.2,10.0866,102.849,-13.8106,7.68169,7.49512,91.4973,2.20116,0.49114,mudstone
1570.2,1574.18,10.1883,100.752,-12.9402,6.8897,6.7766,105.456,2.16202,0.48932,mudstone
1574.18,1574.81,9.78682,110.94,-12.9402,7.65332,7.52627,99.2678,2.18589,0.488514,mudstone
1574.81,1575.32,9.21696,96.5494,-13.207,7.27899,7.27276,102.715,2.11523,0.487952,mudstone
1575.32,1575.69,9.41307,95.3311,-13.1895,7.86609,7.70011,115.631,2.0589,0.487474,mudstone
1575.69,1576.14,9.71597,98.0817,-12.984,7.26087,7.35171,117.16,2.10569,0.489704,mudstone
1576.14,1576.7,9.91722,99.9012,-12.3422,7.74867,7.69649,115.367,2.078,0.490911,mudstone
1576.7,1577.46,10.3875,104.186,-12.4876,6.68481,6.90553,110.463,2.16297,0.547722,mudstone
1577.46,1578.28,10.1092,101.222,-12.949,8.27509,8.01736,82.6657,2.36347,0.603675,mudstone
1578.28,1581.38,10.1708,100.55,-13.3514,6.63752,6.66867,102.795,2.24126,0.603202,mudstone
1581.38,1582.7,9.82378,98.1932,-13.2595,7.78886,7.49223,112.584,2.14483,0.602396,mudstone
1582.7,1584.91,10.3279,96.3157,-13.8576,6.66826,6.75994,97.6851,2.25081,0.600588,mudstone
1584.91,1585.35,9.75499,83.3805,-13.4344,8.28297,8.04488,94.6197,2.22217,0.600639,silty mudstone
1585.35,1586.24,10.0897,97.6179,-13.7319,6.87157,7.146,110.12,2.19257,0.600951,mudstone
1586.24,1587.18,9.68003,102.299,-14.1255,7.44606,7.77471,113.682,2.23458,0.599638,mudstone
1587.18,1587.82,10.1965,106.921,-13.8532,6.92831,7.3901,106.755,2.19639,0.599224,mudstone
1587.82,1588.26,10.2632,95.5541,-13.3984,7.45788,7.65592,100.875,2.14292,0.600316,mudstone
1588.26,1589.2,10.6195,98.178,-13.699,6.5201,6.93015,109.822,2.16966,0.59938,mudstone
1589.2,1590.21,9.89771,98.8363,-13.8948,8.31134,8.55046,90.4924,2.29187,0.599825,mudstone
