TopDepth,BotDepth,_CAL,_GR,_SP,_LLD,_LLS,_AC,_DEN,_PEF,Lith_Section
1005.37,1006.94,10.5385,108.298,6.04385,19.7599,23.0498,103.977,2.22713,0.884914,mudstone
1006.94,1011.49,10.486,137.953,5.48483,52.2374,49.0098,105.807,2.10433,0.884625,oil shale
1011.49,1013.45,10.7762,134.938,4.8519,7.32856,6.82943,107.791,2.2468,0.883637,mudstone
1013.45,1014.33,10.6042,145.568,4.89644,11.6679,12.8855,110.725,2.16336,0.883922,oil shale
1014.33,1015.47,10.695,139.278,4.89361,7.7114,7.13805,111.684,2.18642,0.884409,mudstone
1015.47,1017.11,10.8423,134.456,4.8658,7.47676,5.92683,104.607,2.20203,0.884136,mudstone
1017.11,1021.78,10.837,135.662,4.98226,6.94573,5.79409,106.555,2.15386,0.883018,mudstone
1021.78,1024.24,10.6483,124.815,5.07389,6.91949,7.81168,108.638,2.14029,0.882119,mudstone
1024.24,1025.95,10.6873,119.75,5.08609,9.29059,5.9235,104.894,2.25359,0.880979,mudstone
1025.95,1026.89,10.6839,135.251,5.11829,4.68732,4.58287,106.746,2.26851,0.880744,mudstone
1026.89,1027.59,10.8031,153.729,5.14723,4.72437,4.68906,106.285,2.2563,0.882003,mudstone
1027.59,1028.66,10.671,127.704,5.17659,6.96425,8.08047,107.307,2.24545,0.882797,mudstone
1028.66,1030.62,10.6775,118.906,5.16978,6.3545,5.44897,106.919,2.23731,0.88295,mudstone
1030.62,1031.31,10.6798,138.747,5.19149,6.73425,5.65803,104.529,2.20406,0.883579,mudstone
1031.31,1032.51,10.5952,110.105,5.21645,9.20105,7.08827,103.59,2.24545,0.884299,mudstone
1032.51,1034.85,10.7334,129.514,5.23347,6.4147,7.56612,109.44,2.22442,0.885162,mudstone
1034.85,1035.86,10.8422,124.451,5.21815,8.84292,8.54173,107.49,2.34043,0.889293,mudstone
1035.86,1039.71,10.6976,123.487,5.25915,7.72838,7.54289,106.104,2.21899,0.894024,mudstone
1039.71,1040.78,10.6572,142.414,5.24922,7.83489,7.26082,106.396,2.28344,0.896222,mudstone
1040.78,1042.55,10.7584,121.559,5.26794,6.89016,6.47436,106.202,2.28412,0.897024,mudstone
1042.55,1043.62,10.8025,138.193,5.2644,5.17204,5.66799,106.705,2.26716,0.897819,mudstone
1043.62,1044.95,10.7403,128.432,5.25064,8.57741,7.59267,105.436,2.25088,0.899894,mudstone
1044.95,1046.28,10.6841,138.072,5.24993,5.72005,6.49759,109.671,2.25088,0.902481,mudstone
1046.28,1047.1,10.6901,123.897,5.22581,8.81668,7.05177,103.599,2.22509,0.904427,mudstone
1047.1,1047.79,10.7479,120.834,5.19347,6.33134,6.51086,101.646,2.23052,0.907066,mudstone
1047.79,1049.94,10.7384,124.088,5.2129,5.9871,5.91355,107.016,2.28887,0.908886,mudstone
1049.94,1051.27,10.8344,139.882,5.19276,8.36901,7.33051,103.729,2.20745,0.907957,mudstone
1051.27,1052.97,10.7334,132.889,5.2,7.88429,6.67347,102.189,2.25088,0.91106,mudstone
1052.97,1053.8,10.73,133.092,5.24099,7.97846,5.84055,105.711,2.26037,0.911443,mudstone
1053.8,1056.01,10.6891,133.613,5.2583,7.32702,5.0574,106.746,2.23256,0.914159,mudstone
1056.01,1059.43,10.7527,128.792,5.26227,4.93431,4.43354,108.069,2.17896,0.920975,mudstone
1059.43,1060.06,10.696,137.692,5.30199,4.86021,4.97112,108.574,2.14775,0.980661,mudstone
1060.06,1065.13,10.8536,130.117,5.26298,7.39803,6.2653,107.811,2.17692,1.04027,mudstone
1065.13,1067.28,10.9327,133.611,5.23915,6.81915,7.18451,109.953,2.15996,1.04375,oil shale
1067.28,1068.8,10.8633,131.562,5.10496,9.28287,8.63465,101.626,2.24273,1.04755,mudstone
1068.8,1070.32,10.7728,129.153,5.15872,5.72931,5.79077,109.109,2.15182,1.05073,mudstone
1070.32,1071.2,10.8763,134.621,5.20127,6.82224,6.22548,104.225,2.31872,1.0544,mudstone
1071.2,1072.34,10.8581,134.575,5.22156,5.51628,5.94673,107.567,2.18371,1.05807,mudstone
1072.34,1073.8,10.9675,132.528,5.22681,5.70615,4.59282,108.265,2.12468,1.06016,mudstone
1073.8,1075.38,10.5903,131.925,5.30326,7.07077,7.64245,109.275,2.20949,1.05957,mudstone
1075.38,1079.36,10.89,128.067,5.21674,6.18006,5.04413,107.279,2.15386,1.06017,mudstone
1079.36,1080.37,10.7697,132.286,5.18993,13.8414,13.9142,109.732,2.23527,1.0564,oil shale
1080.37,1081.31,10.7517,123.833,5.06879,9.05904,6.86262,107.205,2.13961,1.0522,mudstone
1081.31,1082.83,10.6546,135.781,5.02964,8.88151,11.3591,109.333,2.19321,1.04819,mudstone
1082.83,1084.53,10.8111,134.697,5.01602,6.21711,5.98987,103.879,2.31329,1.02248,mudstone
1084.53,1085.86,10.6781,118.665,4.92481,15.6429,13.1676,97.0891,2.40081,0.997911,oil shale
1085.86,1088.7,10.6452,121.92,5.03318,10.1936,8.31608,100.535,2.26377,0.993921,mudstone
1088.7,1090.34,10.7162,140.123,5.12127,9.43261,11.8104,108.676,2.29701,0.990653,oil shale
1090.34,1092.36,10.6875,125.054,5.09503,7.60025,7.16791,108.809,2.21017,0.986583,mudstone
1092.36,1094.19,10.6593,117.461,5.1634,14.5314,12.036,105.329,2.20678,0.983013,oil shale
