TopDepth,BotDepth,_CAL,_GR,_SP,_LLD,_LLS,_AC,_DEN,_PEF,Lith_Section
1734.33,1736.93,10.2011,109.633,-12.3205,5.56688,3.70401,105.647,2.18544,0.275978,mudstone
1736.93,1737.88,10.2685,109.871,-12.385,5.58121,4.34583,108.097,2.08965,0.32166,mudstone
1737.88,1738.71,11.1154,109.577,-12.2743,3.49153,-0.819143,111.088,2.15579,0.372347,mudstone
1738.71,1739.53,10.7628,109.587,-12.2248,4.30233,1.03027,99.3237,2.1575,0.420805,mudstone
1739.53,1742.64,11.0135,109.569,-12.2693,3.32196,-1.57351,103.313,2.20711,0.465792,mudstone
1742.64,1743.15,10.3155,109.726,-12.1389,4.35128,1.66601,99.0638,2.20768,0.509664,mudstone
1743.15,1744.23,10.762,109.608,-12.1818,3.74707,0.275903,104.393,2.17803,0.548696,mudstone
1744.23,1744.73,10.6555,109.476,-11.835,4.05276,1.64471,107.233,2.17347,0.572795,mudstone
1744.73,1745.49,10.7025,109.693,-11.7755,3.10941,-0.484547,107.239,2.31316,0.587016,mudstone
1745.49,1746.57,10.2912,109.378,-11.7574,4.30233,2.66067,94.1146,2.17119,0.595342,mudstone
1746.57,1749.24,11.2282,109.518,-11.2784,2.69864,-2.30658,102.806,2.19513,0.572387,mudstone
1749.24,1750.38,10.3343,109.399,-11.0538,3.66228,0.659171,105.301,2.16662,0.534768,mudstone
1750.38,1752.28,10.6735,109.542,-10.6409,3.12613,-0.889103,99.4476,2.21053,0.508559,mudstone
1752.28,1752.78,10.093,109.202,-10.0827,4.07186,1.28578,98.0085,2.19855,0.480025,mudstone
1752.78,1753.67,10.426,109.44,-10.4047,3.24196,-0.350705,104.961,2.2493,0.44469,mudstone
1753.67,1754.62,10.5678,109.726,-10.522,3.71721,0.987684,106.799,2.22592,0.409447,mudstone
1754.62,1755.19,10.227,109.726,-10.2594,3.59661,0.303282,105.095,2.16662,0.364636,mudstone
1755.19,1755.76,9.97941,109.389,-10.3585,3.75542,0.659171,101.294,2.18829,0.327446,mudstone
1755.76,1756.46,10.7503,109.487,-10.4906,3.04374,-1.11115,104.391,2.22193,0.305616,mudstone
1756.46,1757.09,9.89402,109.623,-10.4642,4.64981,3.3542,97.6672,2.20597,0.29516,mudstone
1757.09,1757.66,10.5936,109.508,-10.4361,3.39122,-0.405458,101.077,2.24873,0.293162,mudstone
1757.66,1758.16,10.1854,109.309,-10.413,4.14709,2.21961,102.361,2.2436,0.303943,mudstone
1758.16,1760.38,10.9273,109.579,-10.4196,3.28614,-0.618383,104.177,2.11759,0.322485,mudstone
1760.38,1763.8,10.7088,109.585,-10.2726,3.33032,-0.89823,103.444,2.14781,0.348981,mudstone
1763.8,1764.37,10.6751,109.516,-9.98854,3.09269,-1.19328,105.699,2.26013,0.380062,mudstone
1764.37,1765.13,10.3343,109.517,-9.74741,4.75131,3.02569,94.1255,2.3143,0.518687,mudstone
1765.13,1766.52,10.6414,109.432,-9.64006,3.77931,0.677421,97.8306,2.20483,0.666484,mudstone
1766.52,1767.09,10.4988,109.46,-9.51454,4.26889,1.67817,96.0589,2.11645,0.70279,mudstone
1767.09,1767.72,11.728,109.596,-9.41875,2.92552,-1.86248,106.014,2.20426,0.743814,mudstone
1767.72,1768.48,10.3045,109.392,-9.41709,4.74414,2.96181,95.9436,2.11588,0.779428,mudstone
1768.48,1769.11,11.4123,109.489,-9.55748,3.13927,-0.904312,105.284,2.16263,0.796629,mudstone
1769.11,1769.68,10.357,109.453,-9.68795,4.33098,2.16486,99.8859,2.07654,0.805526,mudstone
1769.68,1771.33,10.9681,109.51,-9.82668,3.51899,-0.302036,100.854,2.19912,0.800914,mudstone
1771.33,1771.96,10.3507,109.459,-9.7441,4.40263,1.84851,94.5107,2.05259,0.776861,mudstone
1771.96,1774.18,11.5353,109.491,-9.68134,2.6855,-2.34004,105.884,2.14154,0.753819,mudstone
1774.18,1774.87,10.9187,109.452,-9.64997,6.35619,6.91919,90.8455,2.16206,0.716674,oil shale
1774.87,1775.51,11.5854,109.355,-9.64336,3.60139,0.145108,98.0493,2.20711,0.665978,mudstone
1775.51,1776.46,11.03,109.464,-9.99184,3.01985,-1.28149,105.152,2.09421,0.621957,mudstone
1776.46,1777.03,12.6838,109.437,-10.2478,2.34877,-3.53547,109.726,2.18202,0.478222,mudstone
1777.03,1777.73,11.3919,109.304,-10.086,4.14829,0.799095,93.8992,2.11189,0.337955,mudstone
1777.73,1783.19,10.6445,109.49,-9.80521,3.66587,0.373242,100.881,2.18202,0.310665,mudstone
1783.19,1784.01,10.1118,109.726,-9.70942,5.04267,4.8021,100.865,2.16434,0.282096,mudstone
1784.01,1784.84,10.3092,109.627,-9.51454,3.4366,0.11773,101.888,2.17917,0.268407,mudstone
1784.84,1785.85,10.4322,109.483,-9.39562,3.77214,0.647004,100.233,2.18715,0.2799,mudstone
1785.85,1788.39,11.0488,109.532,-9.76392,2.97328,-1.43663,103.467,2.1193,0.306426,mudstone
1788.39,1789.53,10.4134,109.534,-9.46499,4.12082,2.23178,105.376,2.13926,0.341591,mudstone
1789.53,1791.81,11.1373,109.548,-9.90596,2.73446,-2.20924,103.038,2.14211,0.374131,mudstone
1791.81,1793.15,9.69973,109.421,-9.72263,6.4744,7.96252,101.41,2.31487,0.41194,silty mudstone
1793.15,1793.91,10.5967,109.43,-9.93238,3.42585,-0.113445,105.551,2.1404,0.426768,mudstone
1793.91,1797.27,10.1596,109.646,-10.4212,5.02954,2.9101,97.5098,2.29777,0.441394,silty mudstone
1797.27,1800.06,9.17171,109.418,-10.8061,7.79986,8.41879,90.6085,2.43347,0.463789,muddy siltstone
1800.06,1800.63,9.03304,109.086,-11.432,12.8127,18.4993,88.5165,2.44772,0.482919,siltstone
1800.63,1801.14,9.43337,109.371,-11.2404,7.39864,8.49788,91.9725,2.41921,0.503815,mudstone
1801.14,1801.71,9.07064,109.133,-10.8606,11.5326,16.6742,89.3668,2.37417,0.517188,siltstone
1801.71,1802.47,9.5595,109.591,-10.8391,6.85652,7.47888,91.1929,2.38044,0.519889,muddy siltstone
1802.47,1804.56,10.1008,109.651,-10.3717,4.74056,2.69718,99.1383,2.28294,0.51428,mudstone
1804.56,1805.63,10.0421,109.589,-9.78209,5.46777,5.4135,105.111,2.14439,0.491742,silty mudstone
1805.63,1808.04,10.614,109.56,-9.88614,3.76975,0.458412,102.657,2.2014,0.443858,mudstone
1808.04,1809.24,9.00405,109.389,-9.07522,9.80954,15.3145,102.789,2.45285,0.401491,siltstone
1809.24,1812.34,9.5971,109.548,-9.70777,4.79191,3.0044,101.824,2.27154,0.38402,mudstone
1812.34,1813.99,8.84502,109.451,-9.25854,14.426,26.4749,104.686,2.39298,0.291799,siltstone
1813.99,1815.06,10.6281,109.539,-10.5451,4.30591,1.28274,105.606,2.15009,0.203902,mudstone
1815.06,1815.63,10.5129,109.221,-10.8209,6.04094,3.67359,91.0518,2.14553,0.206712,silty mudstone
1815.63,1816.27,10.9743,109.499,-10.6161,4.42412,0.975518,100.652,2.17347,0.201282,mudstone
1816.27,1817.03,10.5497,109.61,-10.2049,4.96744,2.43558,105.457,2.17746,0.202554,silty mudstone
1817.03,1818.54,10.545,109.726,-10.3948,4.63429,1.08806,101.751,2.22763,0.213807,mudstone
1818.54,1819.18,9.51249,109.5,-15.1579,8.11749,8.37621,90.295,2.39584,0.221538,silty mudstone
1819.18,1820.51,8.57787,108.775,-23.8419,15.4457,22.2012,90.1263,2.42035,0.22654,siltstone
1820.51,1821.01,8.58258,109.148,-25.6982,9.7773,12.0324,90.2433,2.51329,0.228847,siltstone
1821.01,1821.46,8.88027,109.222,-22.2382,8.38617,9.74502,90.4718,2.42948,0.242869,silty mudstone
1821.46,1821.96,8.9688,109.327,-17.4932,10.8448,14.6575,90.1518,2.25671,0.273054,siltstone
1821.96,1824.37,9.2571,109.942,-13.0456,5.70659,5.43783,101.716,2.33597,0.326183,mudstone
1824.37,1826.4,8.69225,109.061,-20.1027,10.3576,13.3708,90.3084,2.39127,0.342662,siltstone
1826.4,1827.92,9.30802,109.453,-17.2339,6.81234,5.64163,90.7493,2.4004,0.279064,mudstone
1827.92,1829.51,8.71419,109.137,-19.0292,8.77067,10.0705,90.0286,2.46141,0.197752,siltstone
1829.51,1830.08,9.19207,109.525,-17.6122,6.3526,5.03632,91.6525,2.33597,0.10231,silty mudstone
