TopDepth,BotDepth,_CAL,_GR,_SP,_LLD,_LLS,_AC,_DEN,_PEF,Lith_Section
1505.08,1506.03,8.81325,89.7753,-17.1393,3.18245,3.03081,100.453,2.37607,0.317572,mudstone
1506.03,1508.25,8.81325,82.651,-17.2611,5.42579,5.13822,95.3873,2.34327,0.310628,mudstone
1508.25,1510.53,8.81941,87.2725,-18.2093,5.02296,5.3305,99.8539,2.27765,0.301946,mudstone
1510.53,1515.55,9.10278,106.071,-18.716,27.6381,35.5012,104.819,2.12299,0.302054,oil shale
1515.55,1517.07,10.073,107.869,-15.9334,4.63641,6.504,108.769,2.13862,0.301199,mudstone
1517.07,1518.02,10.0391,111.398,-16.6369,4.72322,5.49684,123.05,2.11518,0.479415,mudstone
1518.02,1519.1,11.5207,106.719,-15.3255,3.46998,3.59848,112.613,2.10425,0.657138,mudstone
1519.1,1519.8,12.1891,108.494,-15.879,4.00844,3.97693,98.0566,2.21204,0.655847,mudstone
1519.8,1522.02,11.9365,106.892,-16.1955,3.36826,3.02928,104.303,2.15111,0.649871,mudstone
1522.02,1522.53,9.85741,104.658,-16.2531,6.64376,5.78525,88.3467,2.38857,0.643712,mudstone
1522.53,1524.81,9.17978,108.58,-16.8849,4.43297,3.85943,111.818,2.13862,0.42147,mudstone
1524.81,1525.45,8.77629,105.97,-17.0828,5.95339,5.16264,89.1897,2.21985,0.201093,mudstone
1525.45,1527.23,8.59764,106.696,-17.0328,3.0007,2.88126,102.448,2.10737,0.206132,mudstone
1527.23,1528,8.44055,102.681,-17.3155,5.00262,4.4561,107.218,2.28078,0.212496,mudstone
1528,1529.72,8.58532,106.704,-17.3144,3.18516,3.24292,104.146,2.17142,0.221217,mudstone
1529.72,1530.42,8.56684,101.169,-17.4927,5.38103,4.82387,87.3475,2.27922,0.23036,mudstone
1530.42,1533.48,8.78245,102.851,-17.1165,3.569,3.61679,108.324,2.10425,0.239343,mudstone
1533.48,1534.06,8.51139,113.367,-16.8305,4.74356,4.43015,98.6172,2.31983,0.244637,mudstone
1534.06,1534.76,8.61612,101.345,-17.3557,3.6558,3.95404,95.0878,2.2136,0.250541,mudstone
1534.76,1535.46,8.76088,97.6811,-17.3503,4.74492,4.75062,100.406,2.12924,0.252932,mudstone
1535.46,1539.03,9.18594,106.684,-16.5369,3.25976,3.30549,105.936,2.09019,0.254103,mudstone
1539.03,1540.05,10.0792,99.5122,-16.0095,4.05862,4.09749,112.889,2.01208,0.252525,mudstone
1540.05,1540.82,8.73932,109.716,-16.8631,3.38589,3.34516,107.379,2.17455,0.250331,mudstone
1540.82,1542.03,8.83173,104.47,-17.7156,4.35701,4.51409,89.2871,2.24797,0.242371,mudstone
1542.03,1545.54,9.46007,100.855,-16.712,3.50661,3.5466,98.9349,2.13862,0.234382,mudstone
1545.54,1547.07,9.65104,97.6646,-16.4108,4.23359,4.39506,95.6612,2.18705,0.343548,mudstone
1547.07,1548.53,11.111,103.429,-15.5408,2.74842,2.7897,111.406,1.9699,0.451009,mudstone
1548.53,1549.04,9.92825,94.9627,-15.1526,7.58504,6.38497,83.3003,2.1683,0.439559,mudstone
1549.04,1551.02,11.7209,101.494,-15.1733,3.47405,3.69615,101.341,2.01208,0.428437,mudstone
1551.02,1551.53,10.3995,101.174,-15.9595,4.49943,4.92153,91.1508,2.13393,0.419769,mudstone
1551.53,1552.99,10.4149,103.977,-15.431,3.7955,3.49776,110.41,2.27297,0.414183,mudstone
