TopDepth,BotDepth,_CAL,_GR,_SP,_LLD,_LLS,_AC,_DEN,_PEF,Lith_Section
1418.43,1423.74,9.2464,85.8456,0.213678,4.18558,3.96436,96.6995,2.36852,0.320348,mudstone
1423.74,1424.49,9.26006,79.6388,0.0360985,4.67881,4.14882,97.7211,2.31695,0.322818,mudstone
1424.49,1425.51,9.05171,85.1687,0.25906,3.92548,3.46499,98.6472,2.36475,0.325061,mudstone
1425.51,1426.01,9.05171,91.7336,0.528532,4.29659,3.80541,98.1986,2.41255,0.32498,mudstone
1426.01,1428.03,9.05171,98.9214,0.273718,2.99611,2.49624,101.803,2.34965,0.326053,mudstone
1428.03,1428.54,9.05171,90.117,0.40056,5.76995,4.94811,94.2255,2.41883,0.326121,mudstone
1428.54,1429.42,9.04829,82.9822,0.25906,5.11495,4.48323,95.417,2.36223,0.32639,mudstone
1429.42,1431,8.87751,77.6832,0.281046,7.87134,7.47646,90.368,2.36978,0.325738,mudstone
1431,1432.01,8.84677,87.4093,0.485123,5.8207,6.04283,94.4054,2.37355,0.328846,mudstone
1432.01,1436.81,8.83823,112.311,0.567429,39.2844,49.0547,100.766,2.18487,0.331895,oil shale
1436.81,1438.07,9.77412,112.808,0.745008,5.42579,6.64567,106.268,2.27418,0.460279,mudstone
1438.07,1439.02,9.27714,112.929,0.493296,6.23463,6.97109,114.624,2.22135,0.58662,oil shale
1439.02,1439.65,10.792,106.077,0.615913,3.63208,3.74542,121.79,2.02009,0.582409,mudstone
1439.65,1440.53,11.0447,111.081,0.705549,4.80093,4.65269,106.37,2.19619,0.579885,mudstone
1440.53,1443.24,11.4939,110.87,0.678205,3.78274,3.49049,101.794,2.23141,0.575516,mudstone
1443.24,1445.27,10.1686,110.58,0.540936,5.60501,5.32601,102.938,2.2289,0.571227,mudstone
1445.27,1446.28,10.6195,110.74,0.719641,4.51228,4.34377,112.49,2.19745,0.566452,mudstone
1446.28,1446.84,10.0354,110.936,0.571095,6.30124,6.04733,89.1066,2.37229,0.562171,mudstone
1446.84,1448.74,11.1028,104.809,0.676798,3.23559,3.28654,98.4662,2.19619,0.558419,mudstone
1448.74,1449.56,10.0542,114.448,0.682434,5.63197,5.42049,105.797,2.17732,0.557525,mudstone
1449.56,1451.51,10.9781,109.473,0.676516,3.68441,3.69893,99.792,2.20877,0.556391,mudstone
1451.51,1452.2,10.8893,109.821,0.718513,6.63588,6.61418,83.7677,2.38613,0.556027,mudstone
1452.2,1455.46,10.1686,102.432,0.683563,4.46629,4.54321,102.239,2.24525,0.555753,mudstone
1455.46,1455.97,10.5887,108.471,0.53727,5.4813,5.54346,101.792,2.27544,0.561387,mudstone
1455.97,1456.6,10.5631,107.319,0.736835,4.32355,4.52672,98.3907,2.29305,0.567752,mudstone
1456.6,1456.97,10.155,98.3971,0.901449,5.12605,5.20454,102.943,2.26915,0.575592,mudstone
1456.97,1460.93,11.0618,108.742,0.736271,4.17447,4.2208,102.639,2.18236,0.583916,mudstone
1460.93,1462.12,10.9542,101.173,0.573067,5.14191,5.395,95.2738,2.20751,0.589602,mudstone
1462.12,1462.69,9.94831,110.332,0.756002,3.889,4.08733,107.414,2.08298,0.595599,mudstone
1462.69,1463.32,10.9747,123.365,0.810968,5.81435,5.73391,95.668,2.20374,0.602782,mudstone
1463.32,1463.88,10.4214,98.4521,0.659039,4.75969,5.10857,87.8385,2.27292,0.608939,mudstone
1463.88,1464.38,10.2882,109.741,0.578705,5.85718,6.1433,90.1936,2.29556,0.680656,mudstone
1464.38,1468.4,11.1916,103.7,0.710903,4.06346,4.1983,97.3936,2.10563,0.753153,mudstone
1468.4,1468.91,10.3104,106.36,0.873825,5.39566,5.30652,91.6072,2.25657,0.755384,mudstone
1468.91,1471.36,12.2675,109.011,0.689198,3.47983,3.4215,103.798,2.06663,0.759206,mudstone
1471.36,1472.24,10.6246,105.43,0.807022,7.36383,7.26951,89.1532,2.23393,0.760587,mudstone
1472.24,1472.61,11.8628,94.7539,0.677078,3.12457,3.48449,95.5714,2.05405,0.760947,mudstone
1472.61,1473.43,11.984,93.7846,0.512465,4.42506,4.47123,94.1134,2.09053,0.760328,mudstone
1473.43,1474.18,11.9652,109.412,0.640999,3.14202,3.20856,110.168,1.97984,0.761799,mudstone
1474.18,1474.94,10.3633,102.951,0.686661,4.93256,4.75466,109.379,2.19745,0.762084,mudstone
1474.94,1475.94,11.1677,104.609,0.112486,4.36162,4.08883,112.243,2.24399,0.763106,mudstone
1475.94,1476.76,10.4897,97.2328,0.48456,8.24245,8.05831,83.1858,2.45154,0.764543,mudstone
1476.76,1478.46,11.1011,98.2403,0.630287,3.87949,3.77091,98.5251,2.18865,0.767205,mudstone
1478.46,1479.47,10.6673,103.587,0.48625,5.27989,5.10407,114.537,2.17732,0.770945,mudstone
1479.47,1483.19,11.3436,105.458,0.53727,4.18082,4.14582,104.288,2.19997,0.776532,mudstone
1483.19,1484.51,10.3428,102.362,0.536423,6.24256,6.29176,104.637,2.21003,0.782028,mudstone
1484.51,1486.02,12.0985,105.923,0.493862,3.04369,3.22356,112.993,2.06537,0.787916,mudstone
1486.02,1486.71,10.8039,102.756,0.567148,7.28136,7.77788,85.4633,2.18739,0.793385,mudstone
1486.71,1487.53,12.3393,97.4955,0.606894,3.71296,4.18631,101.759,2.08173,0.789892,mudstone
1487.53,1488.04,9.22762,98.9257,0.702728,10.1377,9.82485,111.84,2.20248,0.78662,mudstone
1488.04,1488.79,10.377,110.42,0.707239,4.41554,4.55371,114.615,1.93833,0.665748,mudstone
1488.79,1489.42,9.96027,112.532,0.637899,7.44789,7.08206,104.474,2.19368,0.544974,mudstone
