"DEPT,m","LITHOLOGY_GEOLINK,_",LITH,"GR,gAPI","NPHI,m3/m3","RHOB,g/cm3","DTC,us/ft","RDEP,ohm.m","RMED,ohm.m","Igr,m3/m3",GR_s,GR_std,RHOB_std,NPHI_std,DTC_std,"DPHI,m3/m3","deltaPHI,m3/m3","APHI,m3/m3",log10RMED,log10RDEP,M,N,"DT_m,us/ft","rho_m,g/cm3","Vp,km/s",rho_Vp,rho_Vp2,GR_grad,RHOB_grad,NPHI_grad,DTC_grad,log10RDEP_grad,log10RMED_grad,DPHI_grad,deltaPHI_grad,APHI_grad,M_grad,N_grad,DTm_grad,rhom_grad,rhoVp_grad,rhoVp2_grad,"groupTop,m","DgroupTop,m",Cromer Knoll,Hegre,Rogaland,Rotliegend,Shetland,Vestland,Viking,Zechstein,LITH_g,prob_c,prob_a
2208.062744,6,6,69.75720978,0.502678156,1.476548076,131.011322,0.652038455,0.87370193,0.262409449,0.86434483,6.351298472,0.211941914,0.029015525,4.25081983,0.721316915,-0.218638759,0.611997535,-0.058636705,-0.18572679,1.216848434,1.043592177,72.39808778,1.958228724,2.326516408,3.435213326,7.992080167,-39.57197165,0.199052979,0.096808524,-8.388794007,-0.058258365,-0.04859621,-0.116405251,0.213213775,-0.009798364,-0.31233528,-0.600761366,-40.77681475,0.604740798,0.68979998,2.137456088,2208,0.062744,0,0,1,0,0,0,0,0,1,0.51814884,2.86E-13
2208.215332,6,6,63.71900177,0.517449975,1.506921172,129.7312927,0.640999973,0.856000006,0.237699861,0.656975538,6.321584597,0.262866296,0.028378271,4.366988714,0.70355487,-0.186104895,0.610502423,-0.067526232,-0.193141989,1.169189818,0.951923202,66.17603517,2.050504913,2.349471619,3.540468525,8.318230316,-64.20339521,0.202029164,0.14637928,-23.09661687,-0.327871288,-0.031302521,-0.11814571,0.26452499,0.014116785,-0.009753175,-0.629897887,-89.24605887,0.773060948,1.135792007,4.265121772,2208,0.215332,0,0,1,0,0,0,0,0,1,0.42004538,4.59E-13
2208.367676,6,6,53.93799973,0.53974998,1.537699103,126.2126617,0.634000003,0.763000011,0.19767399,0.32106802,6.288058124,0.300961913,0.034447235,4.787607491,0.68555608,-0.1458061,0.61265303,-0.117475456,-0.19791074,1.167703981,0.855962038,52.57993358,2.16827611,2.414971574,3.713499623,8.967996028,-28.06247899,0.158280333,-0.110624475,-4.474801764,-0.599781398,-0.072748756,-0.092561598,-0.018062877,-0.101593036,-0.249329876,-0.044245182,22.25221086,0.060868202,0.516693431,1.574258405,2208,0.367676,0,0,1,0,0,0,0,0,1,0.31307724,8.25E-13
2208.52002,6,6,49.66284943,0.522897005,1.561812162,125.5309525,0.618025541,0.618231952,0.180179196,0.174247161,6.221826516,0.325334103,0.038418264,5.342994427,0.671454876,-0.148557871,0.597175941,-0.208848553,-0.208993577,1.12972007,0.84922155,55.96992439,2.177549015,2.428086334,3.792214767,9.20782485,-3.728083273,0.09209625,-0.199931615,19.48712511,-0.301944005,-0.065335397,-0.053857456,-0.146074159,-0.126894535,-0.519090367,0.211379882,90.79505099,-0.282395567,-0.356642348,-2.242329475,2208,0.52002,0,0,1,0,0,0,0,0,1,0.22784434,1.38E-12
2208.672363,19,19,49.09490204,0.492438823,1.575842381,128.4996796,0.604022384,0.556099355,0.177855038,0.154742227,6.140478415,0.339809687,0.039883105,5.837564768,0.66325007,-0.170811247,0.577844446,-0.254847609,-0.218946967,1.050640286,0.881423795,69.80191484,2.134528028,2.371990274,3.737882801,8.866221651,1.016449262,0.053638242,-0.122479015,27.95007995,-0.251884856,-0.086215158,-0.031367393,-0.091111623,-0.076923204,-0.575068166,0.128762885,80.85385968,-0.162123769,-0.663770587,-3.390430296,2208,0.672363,0,0,1,0,0,0,0,0,4,0.21019457,1.86E-12
2208.824951,19,19,49.25,0.473749995,1.584026933,132.7645264,0.586000025,0.509000003,0.178489731,0.160068733,5.987184981,0.347857278,0.040173873,6.152376422,0.658463782,-0.184713787,0.566106888,-0.293282215,-0.232102365,0.962891785,0.901071467,82.13924358,2.109789886,2.295793903,3.636599375,8.348882673,9.846137688,0.213202489,0.19836667,29.92683401,0.099070778,-0.149811267,-0.124679818,0.323046488,0.036843426,-0.818416047,-0.63337045,17.59817149,0.873632209,-0.319302416,-2.528179763,2208,0.824951,0,0,1,0,0,0,0,0,4,0.18201366,2.15E-12
2208.977295,19,19,50.75,0.503969967,1.616507053,137.3237,0.555999994,0.52700001,0.184628039,0.211583013,5.847181796,0.351487079,0.039747035,6.316491122,0.63946956,-0.135499593,0.571719763,-0.278189377,-0.254925213,0.838211011,0.804581279,84.82021942,2.242882511,2.219573098,3.587955568,7.963729655,0.412884918,0.541105511,0.194117694,8.864067505,0.106018498,-0.056872997,-0.316435971,0.510553666,-0.061159139,-0.775746584,-0.900620868,-24.35178879,1.677261533,0.959985218,1.600965631,2208,0.977295,0,0,1,0,0,0,0,0,4,0.07651324,2.75E-12
2209.129639,19,19,50.81290054,0.533542633,1.698941231,138.6740875,0.5450176,0.546967983,0.184885441,0.213743197,5.72559344,0.351683891,0.040007186,6.369146553,0.591262438,-0.057719805,0.562402536,-0.262038095,-0.263589473,0.720030673,0.667377093,81.11037051,2.498403242,2.197959228,3.734203556,8.207627163,3.277460074,0.908287411,0.283165003,-11.63307011,0.277602128,0.020721301,-0.531162228,0.814327231,-0.123998613,-0.64213077,-1.062130635,-99.64972347,3.147938698,2.339531549,5.906194646,2208,1.129639,0,0,1,0,0,0,0,0,4,0.018046418,9.01E-12
2209.281982,19,19,51.31219864,0.576680839,1.83731246,136.9018707,0.548993588,0.602910221,0.186928672,0.230890518,5.573451785,0.348450477,0.039936643,6.346007507,0.510343591,0.066337248,0.543512215,-0.219747354,-0.260432728,0.622206545,0.505568926,65.92943268,2.977969667,2.226412164,4.090614811,9.107394574,12.08348875,1.083275213,-0.128389198,-16.95159442,0.116048624,0.046314408,-0.633494276,0.505105078,-0.380941737,-0.503325722,-0.418301034,-2.598146005,1.872579728,2.974437992,7.899034343,2208,1.281982,0,0,1,0,0,0,0,0,4,0.001889041,7.39E-11
2209.434326,19,19,53.15304565,0.557121515,2.002342939,134.319397,0.557985604,0.627959967,0.194461796,0.294110457,5.482087028,0.342777939,0.041460838,6.224343953,0.413834539,0.143286976,0.485478027,-0.202068042,-0.253377006,0.545527891,0.441843273,65.53362073,3.263245953,2.269217976,4.543752592,10.31076506,24.80505728,1.071782047,-0.052438632,-24.90238223,0.251606623,0.225534932,-0.626773127,0.574334495,-0.33960588,-0.287904434,-0.361203215,-40.87112881,2.113867424,3.369834471,9.836746377,2208,1.434326,0,0,1,0,0,0,0,0,4,0.000233845,1.11E-09
