,Unnamed: 0,"DEPT,m","LITHOLOGY_GEOLINK,_",LITH,"GR,gAPI","NPHI,m3/m3","RHOB,g/cm3","DTC,us/ft","RDEP,ohm.m","RMED,ohm.m","Igr,m3/m3",GR_s,GR_std,RHOB_std,NPHI_std,DTC_std,"DPHI,m3/m3","deltaPHI,m3/m3","APHI,m3/m3",log10RMED,log10RDEP,M,N,"DT_m,us/ft","rho_m,g/cm3","Vp,km/s",rho_Vp,rho_Vp2,GR_grad,RHOB_grad,NPHI_grad,DTC_grad,log10RDEP_grad,log10RMED_grad,DPHI_grad,deltaPHI_grad,APHI_grad,M_grad,N_grad,DTm_grad,rhom_grad,rhoVp_grad,rhoVp2_grad,"groupTop,m","DgroupTop,m",Cromer Knoll,Hegre,Rogaland,Rotliegend,Shetland,Vestland,Viking,Zechstein,LITH_g,prob_c,prob_a
0,0,2075.018555,6,6,105.4017258,0.498100013,2.09380579,145.6895142,0.58400321,0.589007974,0.780911384,2.748005112,18.61479896,0.026911374,0.032273677,6.965272157,0.360347491,0.137752522,0.429223752,-0.229878826,-0.233584766,0.395961387,0.458856583,102.7069398,3.179330182,2.092120301,4.380493599,9.164519585,23.41202418,-0.054570391,-0.049165429,-11.04382479,0.024251468,0.009730676,0.031912509,-0.081077938,-0.00862646,0.121646194,0.068361063,-13.35163527,-0.317474029,0.220436055,1.169388851,2075,0.018555,0,0,1,0,0,0,0,0,1,9.23E-06,6.79E-10
1,1,2075.170898,6,6,108.9683838,0.490610004,2.085492373,144.0070648,0.586000025,0.594040036,0.809354087,2.91273822,19.16768126,0.030784578,0.033273208,7.917947701,0.365209139,0.125400865,0.427909571,-0.226184284,-0.232102365,0.414493333,0.469270912,100.6729116,3.130965236,2.116562758,4.414075489,9.342667791,13.86576235,0.034927697,-0.073583633,-26.98543231,0.117731338,0,-0.020425554,-0.05315808,-0.047004593,0.234116143,0.05243159,-39.35075571,-0.234107688,0.927558333,3.82309512,2075,0.170898,0,0,1,0,0,0,0,0,1,9.64E-06,5.57E-10
2,2,2075.323242,7,7,111.0807495,0.479399979,2.090813398,139.8959961,0.586000025,0.619086564,0.826199377,3.01030198,18.92759009,0.038104148,0.032044143,8.655873339,0.362097428,0.117302551,0.420748704,-0.208248621,-0.232102365,0.450159523,0.47725855,94.67806009,3.095300334,2.178761357,4.555383435,9.925093394,15.36643904,0.095701497,-0.108003047,-34.01907555,0.237765567,0.024220325,-0.055965788,-0.05203726,-0.081984418,0.268776402,0.056384812,-44.37331318,-0.243161777,1.366984306,5.599634624,2075,0.323242,0,0,1,0,0,0,0,0,1,9.73E-06,6.55E-10
3,3,2075.47583,7,7,113.4254837,0.46292001,2.105416298,134.7050934,0.591008008,0.673025549,0.844897715,3.118598136,18.34812416,0.043534494,0.033622315,8.927347081,0.35355772,0.10936229,0.408238865,-0.171968449,-0.228406635,0.491171577,0.485862196,87.90722497,3.058196765,2.262720604,4.763968837,10.77953044,19.27125256,0.150639211,-0.245562812,-26.76067321,0.033498394,0.024177,-0.088093106,-0.157469706,-0.166827959,0.17159074,0.152763398,-3.370027483,-0.617551858,1.327445043,5.305687292,2075,0.47583,0,0,1,0,0,0,0,0,1,1.01E-05,8.54E-10
4,4,2075.628174,7,7,116.3613434,0.425509989,2.128365278,130.6282654,0.59604162,0.680980742,0.868310048,3.254196585,17.72861576,0.047017735,0.038154528,8.718960047,0.340137264,0.085372725,0.382823627,-0.16686517,-0.224723414,0.517312396,0.509134783,87.39382151,2.964116445,2.333338725,4.966197124,11.58782007,-72.32334913,0.143286838,0.012734417,-14.78423043,-0.050846443,0.121526175,-0.083793472,0.096527889,-0.035529528,0.064092002,-0.074497622,-28.08161014,0.293945883,0.912127272,3.500136066,2075,0.628174,0,0,1,0,0,0,0,0,1,9.94E-06,1.39E-09
5,5,2075.780518,7,7,105.3433151,0.427450001,2.150194168,128.3759766,0.621999979,0.668942332,0.780445582,2.745307299,17.16636196,0.050756984,0.042697073,8.533249905,0.327371832,0.100078169,0.377410916,-0.17461132,-0.20620963,0.527076428,0.497785517,83.11575669,3.008897336,2.374275922,5.105154241,12.1210448,-72.41346731,0.052299561,0.078966582,-0.491389168,-0.157180669,0.138652969,-0.030584539,0.109551121,0.024191022,-0.01955856,-0.090661392,-15.79373806,0.376320773,0.143798617,0.388040013,2075,0.780518,0,0,1,0,0,0,0,0,1,1.40E-05,6.77E-09
6,6,2075.932861,6,6,94.31163025,0.439480007,2.15816164,128.3011169,0.652999997,0.633057714,0.69247221,2.235787259,16.66188759,0.055576841,0.043275643,8.979281927,0.322712491,0.116767516,0.381096249,-0.198556695,-0.185086821,0.524096819,0.483973889,80.70969125,3.066227172,2.375661238,5.127060954,12.18015997,-54.84951071,-0.021446857,-0.022937682,14.9731899,0.159024572,0.111146983,0.012542022,-0.035479703,-0.00519783,-0.119917721,0.028849004,30.95123985,-0.122054745,-0.637936358,-2.885602503,2075,0.932861,0,0,1,0,0,0,0,0,1,2.06E-05,1.86E-08
7,7,2076.085449,6,6,85.94225311,0.435979992,2.154889107,130.585846,0.679004848,0.669435203,0.625729701,1.849231131,16.19244845,0.059898738,0.043667555,9.877258967,0.324626253,0.111353739,0.380303123,-0.174291454,-0.168127125,0.505798813,0.488375901,85.43247904,3.047603083,2.334096685,5.029719521,11.73985166,-83.38888555,-0.018618823,-0.1113925,8.043055191,0.526256771,0.012526998,0.010888201,-0.122280701,-0.05025215,-0.061640563,0.104583315,33.70058124,-0.424631155,-0.349965282,-1.525619634,2075,1.085449,0,0,1,0,0,0,0,0,1,4.45E-05,2.30E-08
8,8,2076.237793,6,6,73.23845673,0.419010013,2.152052641,131.8111572,0.681995153,0.805157065,0.524421894,1.262481334,15.76082666,0.062351127,0.042789076,10.6777912,0.326285005,0.092725008,0.372647509,-0.094119392,-0.166218712,0.496408244,0.504308541,90.56656039,2.982913074,2.312399016,4.97640441,11.50743266,-47.21902307,-0.05733383,-0.075093263,-23.85993672,0.327216934,-0.012863097,0.033528556,-0.108621818,-0.020782354,0.23358358,0.090969605,-27.79779675,-0.348120865,0.790016498,4.020742379,2075,1.237793,0,0,1,0,0,0,0,0,1,0.000157134,2.44E-08
9,9,2076.390137,5,5,66.04492188,0.407570005,2.143318176,128.176239,0.678924799,0.903088152,0.467056267,0.930233793,15.37729991,0.063114312,0.041792561,11.17114735,0.33139288,0.076177125,0.369481442,-0.044269855,-0.168178328,0.531993301,0.518167215,86.33173284,2.929878949,2.377975767,5.096758683,12.11996864,-12.52101317,-0.206774248,-0.061308545,-40.70471105,0.168296664,-0.20417328,0.120920613,-0.182229158,0.029806034,0.465049066,0.151510659,-57.18176359,-0.540226876,1.184153786,7.003640418,2075,1.390137,0,0,1,0,0,0,0,0,1,0.000355554,2.09E-08
