AC,CAL,GR,K,RD,SP,Core Lithology,,1,coarse sandstone
0.038755841,0.02696967,0.094776021,0.112542782,0.001419794,0.614503989,5,,2,medium sandstone
0.347382182,0.090193651,0.145150032,0.202335414,0.002743523,0.339568216,7,,3,fine sandstone
0.218400304,0.059510125,0.25216485,0.711294544,0.003874025,0.918567179,3,,4, siltstone
0.366064049,0.082146963,0.149303806,0.201731427,0.003290328,0.343179565,7,,5,dolomite
0.29187708,0.079980546,0.141781748,0.289309442,0.003455429,0.344604949,7,,6,limestone
0.304682565,0.065169334,0.157276616,0.319307429,0.003627104,0.331117321,7,,7,mudstone
0.397196306,0.467105845,0.14366464,0.19971814,0.003746912,0.429305449,7,,,
0.331688784,0.066849412,0.163676546,0.332997785,0.003651577,0.338582278,7,,,
0.293935385,0.056592095,0.156943781,0.320112744,0.003704176,0.333754,7,,,
0.341141275,0.128570165,0.162126488,0.436682102,0.003573775,0.342351377,7,,,
0.314681843,0.101865771,0.160350104,0.403664184,0.003720248,0.344509172,7,,,
0.340314811,0.173755416,0.312314683,0.671834105,0.004407315,0.347568396,7,,,
0.369379335,0.199840835,0.190253848,0.433460842,0.004648027,0.457193402,7,,,
0.270071616,0.617738085,0.094840686,0.205154017,0.004913576,0.382802993,3,,,
0.284137225,0.054071978,0.114837377,0.172337427,0.004551961,0.321798801,7,,,
0.238782238,0.486824653,0.077325989,0.267364606,0.005340573,0.374307027,3,,,
0.248460985,0.587364046,0.075167321,0.230320113,0.005373813,0.372842205,3,,,
0.234734761,0.405296666,0.080479358,0.302395812,0.00550604,0.37484225,3,,,
0.242025246,0.051463436,0.108688499,0.191061003,0.004302484,0.331049714,7,,,
0.262435462,0.634715713,0.103456343,0.242802496,0.005239029,0.392555325,7,,,
0.231076949,0.430984172,0.076207666,0.199919468,0.006002438,0.372543607,3,,,
0.467062406,0.438986648,0.152620738,0.290316086,0.006481303,0.391101771,2,,,
0.429497554,0.422053232,0.163528197,0.302395812,0.006670877,0.390904584,2,,,
0.349563042,0.281678309,0.236500712,0.521038856,0.006513812,0.413817776,7,,,
0.458514941,0.466752144,0.142116484,0.279243004,0.006836708,0.39134403,2,,,
0.228958938,0.277699178,0.088840158,0.295953292,0.006331909,0.381512823,3,,,
0.236485106,0.082898576,0.150918528,0.473122609,0.006234017,0.418088295,3,,,
0.38695506,0.221947122,0.246040697,0.535735857,0.005552063,0.335314599,7,,,
0.198628006,0.313776638,0.074244894,0.232534729,0.006584674,0.376047911,3,,,
0.317638888,0.154080821,0.228497471,0.558486008,0.006978067,0.979638978,7,,,
0.375365703,0.325271907,0.219769603,0.4058788,0.007097144,0.404831658,7,,,
0.369134223,0.275532762,0.251204385,0.562915241,0.007196131,0.414189616,7,,,
0.399040924,0.462463525,0.12830671,0.273807127,0.007713715,0.391580655,2,,,
0.345462144,0.329029976,0.217068889,0.427823636,0.007395933,0.405304908,7,,,
0.269150878,0.152577593,0.079421895,0.213811154,0.007019707,0.410488124,3,,,
0.372125836,0.402688125,0.174279699,0.311254278,0.007732709,0.390814441,2,,,
0.237402702,0.154522946,0.102855339,0.236762633,0.007100431,0.389017217,3,,,
0.220625159,0.296622159,0.090131555,0.307227703,0.00838252,0.358926398,2,,,
0.307199668,0.228976921,0.210210599,0.464264143,0.007733074,0.393946906,4,,,
0.242348919,0.15509771,0.103093078,0.254278236,0.007422962,0.389929914,3,,,
0.257665222,0.393403484,0.284445983,0.731830079,0.008942109,0.428392753,4,,,
0.251606578,0.151251216,0.087364275,0.268975237,0.007430633,0.390059494,3,,,
0.208451306,0.093111681,0.119877441,0.421985102,0.007458393,0.423829269,3,,,
0.278135144,0.071845433,0.173642559,0.326353936,0.007532908,0.456522964,7,,,
0.272400172,0.342912724,0.243125068,0.485001007,0.009472843,0.401147068,7,,,
0.270489562,0.072199133,0.165835215,0.29293336,0.007825122,0.455801821,7,,,
0.277368386,0.080997436,0.153545067,0.265753976,0.007833888,0.453424303,7,,,
0.271526571,0.075868777,0.155277708,0.263942017,0.007914247,0.454235588,7,,,
0.26825528,0.073437086,0.159513263,0.271995168,0.007946025,0.455035606,7,,,
0.326315194,0.223096649,0.222966715,0.473323938,0.006862277,0.266231352,2,,,
0.292137903,0.273941109,0.219655488,0.479967787,0.008709434,0.408183846,7,,,
0.237704377,0.463215138,0.08384574,0.247231729,0.008176874,0.376549331,2,,,
0.250110771,0.095454947,0.169462159,0.292732031,0.008108569,0.44527764,3,,,
0.321328125,0.067424175,0.164340313,0.325951278,0.008893163,0.384769234,3,,,
0.235850331,0.136528429,0.118865624,0.220253674,0.008465801,0.393079281,3,,,
0.215041025,0.241268017,0.236633846,0.528085363,0.009097348,0.976562852,7,,,
0.292914089,0.373375188,0.111777203,0.274411113,0.00963283,0.391766575,2,,,
0.243187953,0.249270493,0.215336248,0.514797665,0.009311029,0.408437373,7,,,
0.236598235,0.160447431,0.068038959,0.197503523,0.009260988,0.402690765,3,,,
0.295924556,0.377929083,0.17698802,0.314475539,0.009907511,0.39087078,2,,,
0.324985938,0.278097091,0.21646218,0.504932555,0.009822038,0.407130302,7,,,
