,DEPTH,GR,NPHI,RHO,PEF,LITH,VSHALE,DPHI,EPOR0
1,7177,16.917,0.046,2.582,3.447,2,0.041056,0.084211,6.7851
2,7177.5,16.584,0.044,2.556,3.46,2,0.0402,0.10132,7.8105
3,7178,15.903,0.043,2.559,3.518,2,0.038457,0.099342,7.6544
4,7178.5,14.115,0.041,2.57,3.518,2,0.033919,0.092105,7.1289
5,7179,13.566,0.04,2.578,3.426,2,0.032536,0.086842,6.7608
6,7179.5,13.915,0.038,2.587,3.286,2,0.033415,0.080921,6.3215
7,7180,15.003,0.035,2.594,3.217,2,0.036166,0.076316,5.9368
8,7180.5,15.186,0.033,2.579,3.228,2,0.03663,0.086184,6.5256
9,7181,15.472,0.031,2.56,3.245,2,0.037358,0.098684,7.3142
10,7181.5,15.24,0.028,2.541,3.281,2,0.036768,0.11118,8.1074
11,7182,14.744,0.026,2.533,3.415,2,0.035509,0.11645,8.4368
12,7182.5,14.424,0.024,2.532,3.516,2,0.034699,0.11711,8.4527
13,7183,14.08,0.025,2.541,3.495,2,0.03383,0.11118,8.0582
14,7183.5,13.582,0.026,2.55,3.457,2,0.032577,0.10526,7.6669
15,7184,13.786,0.028,2.549,3.354,2,0.03309,0.10592,7.747
16,7184.5,14.446,0.031,2.538,3.326,2,0.034755,0.11316,8.2963
17,7185,16.53,0.034,2.504,3.425,2,0.040062,0.13553,9.8801
18,7185.5,18.578,0.037,2.508,3.478,2,0.045352,0.13289,9.7545
19,7186,19.92,0.04,2.522,3.499,2,0.04886,0.12368,9.1918
20,7186.5,20.97,0.043,2.538,3.528,2,0.051628,0.11316,8.5597
21,7187,20.871,0.046,2.554,3.599,2,0.051366,0.10263,7.9527
22,7187.5,18.547,0.047,2.57,3.663,2,0.045272,0.092105,7.3118
23,7188,16.819,0.045,2.581,3.702,2,0.040804,0.084868,6.7925
24,7188.5,15.777,0.041,2.567,3.742,2,0.038135,0.094079,7.2567
25,7189,16.364,0.038,2.552,3.746,2,0.039636,0.10395,7.8259
26,7189.5,17.329,0.035,2.549,3.675,2,0.042117,0.10592,7.8881
27,7190,17.356,0.031,2.554,3.604,2,0.042187,0.10263,7.581
28,7190.5,18.064,0.028,2.556,3.529,2,0.044018,0.10132,7.4327
29,7191,18.73,0.028,2.559,3.466,2,0.045748,0.099342,7.2982
30,7191.5,19.463,0.03,2.565,3.515,2,0.047662,0.095395,7.0711
31,7192,19.364,0.032,2.563,3.588,2,0.047403,0.096711,7.2031
32,7192.5,19.125,0.035,2.563,3.614,2,0.046778,0.096711,7.2725
33,7193,18.997,0.037,2.56,3.598,2,0.046444,0.098684,7.4524
34,7193.5,18.313,0.037,2.536,3.601,2,0.044664,0.11447,8.5068
35,7194,17.547,0.037,2.512,3.656,2,0.04268,0.13026,9.5754
36,7194.5,16.288,0.034,2.505,3.72,2,0.039442,0.13487,9.835
37,7195,16.463,0.032,2.518,3.747,2,0.03989,0.12632,9.214
38,7195.5,17.711,0.031,2.554,3.701,2,0.043104,0.10263,7.581
39,7196,18.24,0.033,2.6,3.668,2,0.044474,0.072368,5.6241
40,7196.5,18.616,0.035,2.596,3.62,2,0.045451,0.075,5.8523
41,7197,19.325,0.037,2.564,3.619,2,0.047301,0.096053,7.2784
42,7197.5,20.473,0.039,2.529,3.655,2,0.050315,0.11908,8.8602
