,DEPTH,GR,NPHI,DENSITY,PEF,LITH,VSHALE,DPHI,EPOR0
1,6299,19.937,0.12866,2.71,0,2,0.10842,0,6.4328
2,6299.5,19.329,0.1269,2.692,0,2,0.1043,0.011842,6.9372
3,6300,18.723,0.12514,2.674,0,2,0.10024,0.023684,7.4412
4,6300.5,17.65,0.12338,2.645,0,2,0.09313,0.042763,8.307
5,6301,16.375,0.12348,2.631,0,2,0.084838,0.051974,8.7728
6,6301.5,15.522,0.12217,2.628,0,2,0.079381,0.053947,8.8058
7,6302,15.597,0.12229,2.626,0,2,0.079858,0.055263,8.8776
8,6302.5,15.743,0.12229,2.622,0,2,0.080788,0.057895,9.0092
9,6303,15.882,0.12219,2.642,0,2,0.081675,0.044737,8.3465
10,6303.5,16.332,0.12205,2.667,0,2,0.084561,0.028289,7.5172
11,6304,17.572,0.12192,2.683,0,2,0.092618,0.017763,6.9839
12,6304.5,19.431,0.12178,2.681,0,2,0.10499,0.019079,7.0428
13,6305,19.726,0.12164,2.679,0,2,0.10699,0.020395,7.1016
14,6305.5,19.944,0.12149,2.681,0,2,0.10847,0.019079,7.0286
15,6306,20.168,0.12255,2.681,0,2,0.11,0.019079,7.0817
16,6306.5,20.383,0.1244,2.678,0,2,0.11147,0.021053,7.2727
17,6307,21.083,0.12627,2.672,0,2,0.11629,0.025,7.5634
18,6307.5,21.582,0.12517,2.663,0,2,0.11976,0.030921,7.8048
19,6308,21.912,0.12333,2.662,0,2,0.12207,0.031579,7.7453
20,6308.5,22.242,0.12234,2.664,0,2,0.12439,0.030263,7.63
21,6309,22.549,0.12149,2.671,0,2,0.12656,0.025658,7.3574
22,6309.5,22.43,0.12064,2.675,0,2,0.12572,0.023026,7.1833
23,6310,20.609,0.1205,2.677,0,2,0.11302,0.021711,7.1106
24,6310.5,18.521,0.12036,2.679,0,2,0.09889,0.020395,7.0378
25,6311,17.262,0.12062,2.686,0,2,0.09059,0.015789,6.8206
26,6311.5,16.895,0.12129,2.694,0,2,0.0882,0.010526,6.5907
27,6312,16.892,0.12236,2.696,0,2,0.088181,0.0092105,6.5785
28,6312.5,16.969,0.1236,2.696,0,2,0.088681,0.0092105,6.6405
29,6313,17.585,0.12461,2.689,0,2,0.092704,0.013816,6.9215
30,6313.5,18.506,0.12414,2.681,0,2,0.09879,0.019079,7.161
31,6314,18.712,0.12367,2.682,0,2,0.10016,0.018421,7.1044
32,6314.5,18.881,0.12319,2.686,0,2,0.10129,0.015789,6.9491
33,6315,19.046,0.12219,2.685,0,2,0.1024,0.016447,6.9319
34,6315.5,17.918,0.12284,2.681,0,2,0.094894,0.019079,7.0961
35,6316,15.706,0.12344,2.685,0,2,0.080552,0.016447,6.9944
36,6316.5,14.219,0.12403,2.695,0,2,0.071184,0.0098684,6.6948
37,6317,14.299,0.12507,2.7,0,2,0.071683,0.0065789,6.5827
38,6317.5,16.059,0.1277,2.697,0,2,0.082808,0.0085526,6.8127
39,6318,16.987,0.12769,2.688,0,2,0.088798,0.014474,7.1084
40,6318.5,16.674,0.12456,2.681,0,2,0.086768,0.019079,7.1817
41,6319,15.467,0.12174,2.68,0,2,0.079032,0.019737,7.0738
42,6319.5,14.846,0.11813,2.687,0,2,0.075108,0.015132,6.6632
43,6320,15.676,0.11817,2.685,0,2,0.080361,0.016447,6.7308
44,6320.5,16.558,0.11845,2.675,0,2,0.086018,0.023026,7.0739
45,6321,17.345,0.11862,2.655,0,2,0.091132,0.036184,7.7403
46,6321.5,19.245,0.11787,2.636,0,2,0.10374,0.048684,8.3279
47,6322,21.778,0.11713,2.624,0,2,0.12113,0.056579,8.6855
48,6322.5,24.252,0.11638,2.632,0,2,0.13879,0.051316,8.3847
49,6323,29.788,0.11634,2.645,0,2,0.18086,0.042763,7.9553
50,6323.5,37.033,NaN,2.615,0,2,0.24167,0.0625,NaN
51,6324,50.838,NaN,2.544,0,2,0.3783,0.10921,NaN
52,6324.5,50.716,NaN,2.528,0,2,0.37696,0.11974,NaN
53,6325,38.744,NaN,2.553,0,2,0.25706,0.10329,NaN
54,6325.5,23.525,0.1203,2.606,0,2,0.13353,0.068421,9.436
55,6326,17.927,0.11814,2.654,0,2,0.094954,0.036842,7.7493
56,6326.5,16.721,0.11806,2.682,0,2,0.087072,0.018421,6.8239
57,6327,16.493,0.12088,2.697,0,2,0.085599,0.0085526,6.4716
58,6327.5,17.186,0.12229,2.7,0,2,0.090094,0.0065789,6.4434
59,6328,17.867,0.12591,2.697,0,2,0.094558,0.0085526,6.7232
