,Formation,Depth,GR,ILD_log10,DeltaPHI,PHIND,NM_M,RELPOS,Facies,Well Name,PE
0,0.076923077,0.399817851,0.298966192,0.458149016,0.776041667,0.219321098,0,1,3,7,0.557385356
1,0.076923077,0.400728597,0.302738195,0.456156917,0.888020833,0.23186476,0,0.978787879,3,7,0.494046111
2,0.076923077,0.401639344,0.306417062,0.454164818,0.903645833,0.241224261,0,0.956565657,3,7,0.430706866
3,0.076923077,0.402550091,0.339247462,0.452172718,0.880208333,0.242478628,0,0.935353535,3,7,0.418039017
4,0.076923077,0.403460838,0.285601192,0.446860454,0.869791667,0.246048747,0,0.914141414,3,7,0.405371168
5,0.076923077,0.404371585,0.282760548,0.43955609,0.8828125,0.247689072,0,0.892929293,3,7,0.430706866
6,0.076923077,0.405282332,0.281596349,0.435571892,0.924479167,0.258206449,0,0.870707071,3,7,0.443374715
7,0.076923077,0.406193078,0.290583962,0.432251726,0.947916667,0.25801347,0,0.828282828,3,7,0.418039017
8,0.076923077,0.407103825,0.281922325,0.431587693,0.940104167,0.259171346,0,0.807070707,3,7,0.405371168
9,0.076923077,0.408014572,0.296358387,0.425611396,0.958333333,0.263802852,0,0.784848485,3,7,0.418039017
10,0.076923077,0.408925319,0.292726087,0.4156509,0.903645833,0.247496092,0,0.763636364,3,7,0.430706866
11,0.076923077,0.409836066,0.287324206,0.404362337,0.864583333,0.234277003,0,0.742424242,3,7,0.443374715
12,0.076923077,0.410746812,0.27298128,0.38975361,0.8125,0.230127945,0,0.72020202,3,7,0.418039017
13,0.076923077,0.411657559,0.326767253,0.373816816,0.864583333,0.27750439,0,0.698989899,3,7,0.405371168
14,0.076923077,0.412568306,0.357874639,0.361864221,0.890625,0.308863544,0,0.677777778,2,7,0.38003547
15,0.076923077,0.413479053,0.302225948,0.327334502,0.825520833,0.297381269,0,0.634343434,2,7,0.367367621
16,0.076923077,0.4143898,0.261013318,0.308077543,0.765625,0.281170999,0,0.613131313,2,7,0.367367621
17,0.076923077,0.415300546,0.234190183,0.294796881,0.747395833,0.282521855,0,0.591919192,2,7,0.354699772
18,0.076923077,0.416211293,0.235726926,0.283508319,0.705729167,0.286381443,0,0.56969697,2,7,0.342031923
19,0.076923077,0.41712204,0.209881717,0.273547823,0.690104167,0.276635983,0,0.548484848,2,7,0.329364074
20,0.076923077,0.418032787,0.201918599,0.262259261,0.661458333,0.274995658,0,0.527272727,2,7,0.354699772
21,0.076923077,0.418943534,0.198938251,0.250970699,0.677083333,0.268434358,0,0.506060606,2,7,0.354699772
22,0.076923077,0.419854281,0.234795567,0.245658434,0.674479167,0.273934271,0,0.483838384,2,7,0.354699772
23,0.076923077,0.420765027,0.246577256,0.244330368,0.6953125,0.281460468,0,0.462626263,2,7,0.354699772
24,0.076923077,0.421675774,0.223619261,0.2469865,0.677083333,0.288118258,0,0.441414141,2,7,0.354699772
25,0.076923077,0.422586521,0.261851541,0.252298765,0.669270833,0.272583415,0,0.397979798,3,7,0.354699772
26,0.076923077,0.423497268,0.293936854,0.252298765,0.653645833,0.252513557,0,0.376767677,3,7,0.354699772
27,0.076923077,0.424408015,0.321085964,0.248314566,0.7109375,0.279916633,0,0.355555556,2,7,0.354699772
28,0.076923077,0.425318761,0.358573158,0.2469865,0.817708333,0.379783477,0,0.333333333,2,7,0.367367621
29,0.076923077,0.426229508,0.377805719,0.254954897,0.888020833,0.452826183,0,0.312121212,2,7,0.354699772
30,0.076923077,0.427140255,0.345487566,0.267571525,0.880208333,0.444431579,0,0.290909091,2,7,0.367367621
31,0.076923077,0.428051002,0.268836733,0.283508319,0.817708333,0.344371756,0,0.26969697,2,7,0.367367621
32,0.076923077,0.428961749,0.239685201,0.308741576,0.786458333,0.255987186,0,0.247474747,2,7,0.367367621
33,0.076923077,0.429872495,0.191114837,0.329326601,0.776041667,0.171558695,0,0.226262626,3,7,0.38003547
34,0.076923077,0.430783242,0.131368166,0.344599361,0.807291667,0.090796812,0,0.205050505,3,7,0.405371168
35,0.076923077,0.431693989,0.175468008,0.365184386,0.833333333,0.090989791,0,0.161616162,3,7,0.557385356
36,0.076923077,0.432604736,0.27726553,0.377801015,0.8125,0.216329918,0,0.14040404,3,7,0.494046111
37,0.076923077,0.433515483,0.382276241,0.385769412,0.885416667,0.330284259,0,0.119191919,3,7,0.418039017
38,0.076923077,0.43442623,0.414920369,0.387761511,0.9296875,0.378143152,0,0.096969697,3,7,0.38003547
39,0.076923077,0.435336976,0.309443979,0.381785213,0.921875,0.338099925,0,0.075757576,3,7,0.38003547
