,Formation,Depth,GR,ILD_log10,DeltaPHI,PHIND,NM_M,RELPOS,Facies,Well Name,PE
0,1,2793,77.45,0.664,9.9,11.915,1,1,3,7,4.6
1,1,2793.5,78.26,0.661,14.2,12.565,1,0.979,3,7,4.1
2,1,2794,79.05,0.658,14.8,13.05,1,0.957,3,7,3.6
3,1,2794.5,86.1,0.655,13.9,13.115,1,0.936,3,7,3.5
4,1,2795,74.58,0.647,13.5,13.3,1,0.915,3,7,3.4
5,1,2795.5,73.97,0.636,14,13.385,1,0.894,3,7,3.6
6,1,2796,73.72,0.63,15.6,13.93,1,0.872,3,7,3.7
7,1,2796.5,75.65,0.625,16.5,13.92,1,0.83,3,7,3.5
8,1,2797,73.79,0.624,16.2,13.98,1,0.809,3,7,3.4
9,1,2797.5,76.89,0.615,16.9,14.22,1,0.787,3,7,3.5
10,1,2798,76.11,0.6,14.8,13.375,1,0.766,3,7,3.6
11,1,2798.5,74.95,0.583,13.3,12.69,1,0.745,3,7,3.7
12,1,2799,71.87,0.561,11.3,12.475,1,0.723,3,7,3.5
13,1,2799.5,83.42,0.537,13.3,14.93,1,0.702,3,7,3.4
14,1,2800,90.1,0.519,14.3,16.555,1,0.681,2,7,3.2
15,1,2800.5,78.15,0.467,11.8,15.96,1,0.638,2,7,3.1
16,1,2801,69.3,0.438,9.5,15.12,1,0.617,2,7,3.1
17,1,2801.5,63.54,0.418,8.8,15.19,1,0.596,2,7,3
18,1,2802,63.87,0.401,7.2,15.39,1,0.574,2,7,2.9
19,1,2802.5,58.32,0.386,6.6,14.885,1,0.553,2,7,2.8
20,1,2803,56.61,0.369,5.5,14.8,1,0.532,2,7,3
21,1,2803.5,55.97,0.352,6.1,14.46,1,0.511,2,7,3
22,1,2804,63.67,0.344,6,14.745,1,0.489,2,7,3
23,1,2804.5,66.2,0.342,6.8,15.135,1,0.468,2,7,3
24,1,2805,61.27,0.346,6.1,15.48,1,0.447,2,7,3
25,1,2805.5,69.48,0.354,5.8,14.675,1,0.404,3,7,3
26,1,2806,76.37,0.354,5.2,13.635,1,0.383,3,7,3
27,1,2806.5,82.2,0.348,7.4,15.055,1,0.362,2,7,3
28,1,2807,90.25,0.346,11.5,20.23,1,0.34,2,7,3.1
29,1,2807.5,94.38,0.358,14.2,24.015,1,0.319,2,7,3
30,1,2808,87.44,0.377,13.9,23.58,1,0.298,2,7,3.1
31,1,2808.5,70.98,0.401,11.5,18.395,1,0.277,2,7,3.1
32,1,2809,64.72,0.439,10.3,13.815,1,0.255,2,7,3.1
33,1,2809.5,54.29,0.47,9.9,9.44,1,0.234,3,7,3.2
34,1,2810,41.46,0.493,11.1,5.255,1,0.213,3,7,3.4
35,1,2810.5,50.93,0.524,12.1,5.265,1,0.17,3,7,4.6
36,1,2811,72.79,0.543,11.3,11.76,1,0.149,3,7,4.1
37,1,2811.5,95.34,0.555,14.1,17.665,1,0.128,3,7,3.5
38,1,2812,102.35,0.558,15.8,20.145,1,0.106,3,7,3.2
39,1,2812.5,79.7,0.549,15.5,18.07,1,0.085,3,7,3.2
40,1,2813,66.69,0.53,14,15.72,1,0.064,3,7,3.3
41,1,2813.5,73.68,0.521,14.7,15.98,1,0.043,2,7,3.3
42,1,2814,71.05,0.535,11.53,18.02,1,0.021,2,7,3.3
43,0,2814.5,57.02,0.628,11.6,12.09,2,1,8,7,3.5
44,0,2815,43.29,0.702,7.3,6.705,2,0.981,8,7,4
45,0,2815.5,36.06,0.762,5.7,4.595,2,0.963,8,7,5
46,0,2816,46,0.823,5.1,4.62,2,0.944,8,7,5.5
47,0,2816.5,60.3,0.915,4.6,5.01,2,0.926,6,7,5.6
48,0,2817,75.22,0.999,4.4,5.295,2,0.907,6,7,5.5
49,0,2817.5,87.19,1.045,4.7,5.32,2,0.889,6,7,5.4
50,0,2818,86.86,1.064,5.2,5.785,2,0.87,6,7,5.4
51,0,2818.5,88,1.051,6.5,6.38,2,0.852,6,7,5.4
52,0,2819,75.47,1.018,7.8,7.215,2,0.833,6,7,5.5
53,0,2819.5,59.36,0.972,10,8.925,2,0.796,6,7,4.9
54,0,2820,55.57,0.952,8.6,9.355,2,0.778,6,7,4.5
55,0,2820.5,46.96,0.924,5.4,9.12,2,0.759,6,7,4.3
56,0,2821,43.67,0.876,3.6,8.225,2,0.741,6,7,4.1
57,0,2821.5,55.23,0.826,5.1,7.875,2,0.722,6,7,4.3
58,0,2822,61.24,0.777,9.7,8.575,2,0.704,6,7,4.3
59,0,2822.5,54.46,0.728,12.8,10.66,2,0.685,6,7,4.4
60,0,2823,43.23,0.699,6.21,12.375,2,0.667,7,7,4
