Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
A1 SH,ALEXANDER D,2887.5,88.71,0.612,6.7,10.605,,1,1,3
A1 SH,ALEXANDER D,2888,92.71,0.583,11,12.515,,1,0.974,3
A1 SH,ALEXANDER D,2888.5,94.54,0.579,12,13.41,,1,0.949,3
A1 SH,ALEXANDER D,2889,95.31,0.579,11.5,13.75,,1,0.923,3
A1 SH,ALEXANDER D,2889.5,93.79,0.572,10.3,13.405,,1,0.897,3
A1 SH,ALEXANDER D,2890,86,0.547,9.7,12.92,,1,0.872,3
A1 SH,ALEXANDER D,2890.5,83.66,0.531,9.9,12.75,,1,0.846,3
A1 SH,ALEXANDER D,2891,84.96,0.516,10,12.71,,1,0.821,2
A1 SH,ALEXANDER D,2891.5,88.93,0.515,9.4,13.51,,1,0.795,2
A1 SH,ALEXANDER D,2892,91.35,0.521,7.4,15.33,,1,0.769,3
A1 SH,ALEXANDER D,2892.5,92.43,0.521,7.4,16.65,,1,0.744,3
A1 SH,ALEXANDER D,2893,92.39,0.526,7.6,16.89,,1,0.718,3
A1 SH,ALEXANDER D,2893.5,91.94,0.526,4.6,16.31,,1,0.692,2
A1 SH,ALEXANDER D,2894,88.21,0.525,2.9,15.33,,1,0.667,2
A1 SH,ALEXANDER D,2894.5,83.2,0.524,1.9,14.215,,1,0.641,2
A1 SH,ALEXANDER D,2895,78.23,0.513,3,13.495,,1,0.615,2
A1 SH,ALEXANDER D,2895.5,74.22,0.5,5,11.365,,1,0.59,2
A1 SH,ALEXANDER D,2896,72.36,0.48,6.6,10.045,,1,0.564,2
A1 SH,ALEXANDER D,2896.5,72.84,0.465,7.2,9.62,,1,0.538,2
A1 SH,ALEXANDER D,2897,74.19,0.455,8,9.64,,1,0.513,2
A1 SH,ALEXANDER D,2897.5,76.62,0.449,8.8,10.5,,1,0.487,2
A1 SH,ALEXANDER D,2898,81.29,0.449,9.2,12.785,,1,0.462,2
A1 SH,ALEXANDER D,2898.5,85.5,0.461,9.9,13.55,,1,0.436,2
A1 SH,ALEXANDER D,2899,88.29,0.476,10.3,13.985,,1,0.41,2
A1 SH,ALEXANDER D,2899.5,91.3,0.484,9.7,13.965,,1,0.385,2
A1 SH,ALEXANDER D,2900,82,0.49,8.3,13.335,,1,0.359,3
A1 SH,ALEXANDER D,2900.5,71.62,0.49,7.5,12.88,,1,0.333,3
A1 SH,ALEXANDER D,2901,67.4,0.483,7.2,12.685,,1,0.308,2
