AC,CAL,GR,K,RD,SP,Core Lithology
0.029102233,0.031788841,0.026723749,0.202335414,0.07898577,0.333754,5
0.032882601,0.033468919,0.030592236,0.203140729,0.076064362,0.333669491,5
0.034384692,0.037005924,0.032359111,0.200120797,0.074502844,0.333618786,5
0.243816443,0.143381378,0.086580688,0.290114757,0.017648986,0.094024654,3
0.248043039,0.146785746,0.08464264,0.283873566,0.01728591,0.090554153,3
0.023772637,0.032452029,0.024681097,0.193678277,0.091026441,0.333877947,7
0.233660043,0.139623309,0.084480978,0.288504127,0.018339707,0.097089512,3
0.213026714,0.127288001,0.248309677,0.592107912,0.022582652,0.138391851,1
0.227815086,0.138871695,0.270425096,0.665391584,0.020262109,0.151896381,1
0.194919915,0.118268636,0.224396952,0.501308637,0.02579883,0.129586019,1
0.236871628,0.142629764,0.276526426,0.665391584,0.019001206,0.166640375,1
0.238009195,0.214652047,0.29581941,0.849003423,0.017399509,0.210523054,2
0.200359496,0.117251746,0.060083266,0.2750151,0.031606946,0.081421553,7
0.185511418,0.108188169,0.070382113,0.312059593,0.028013081,0.082187768,7
0.214509951,0.129454417,0.053723276,0.243607812,0.036793011,0.080965205,7
0.173604673,0.114068441,0.208561642,0.44674854,0.029584826,0.125061973,1
0.236035736,0.134804138,0.269219285,0.638816187,0.018539508,0.175823681,1
0.241679577,0.253293837,0.05230445,0.176162674,0.126454084,0.357055934,2
0.259431279,0.216376337,0.295794685,0.872760217,0.018472664,0.200258034,2
0.254419071,0.315943054,0.066051462,0.241393195,0.02184189,0.0673818,3
0.157091096,0.058537448,0.101799778,0.34205758,0.038414798,0.394177897,2
0.261235046,0.299584402,0.066041952,0.23736662,0.021581089,0.069770586,3
0.241974967,0.148244761,0.073845493,0.258103483,0.018628633,0.08538784,3
0.177897261,0.108851357,0.082856746,0.344876183,0.025945668,0.083973723,7
0.225546236,0.240074277,0.048869599,0.171934769,0.096702695,0.356875648,2
0.241871266,0.135334689,0.08623454,0.308033018,0.021332342,0.105979853,3
0.244875449,0.250641082,0.054485942,0.178779948,0.13310414,0.357546086,2
0.223205111,0.321115925,0.064389192,0.171532112,0.023182421,0.104920674,3
0.221655883,0.142010788,0.075452607,0.273001812,0.019512945,0.098317709,3
0.265423932,0.270094615,0.06784116,0.235353332,0.021144594,0.072277685,3
0.294501026,0.376381643,0.053481733,0.2323334,0.023733974,0.068080407,3
0.228899231,0.120213989,0.258688404,0.618280652,0.018583705,0.174781404,1
0.397818511,0.162569635,0.090679305,0.224682907,0.022732046,0.299201109,2
0.504957216,0.300601291,0.255711914,0.716730421,0.011330957,0.23028688,2
0.161572231,0.036121673,0.078798068,0.27984699,0.050465698,0.392673638,2
0.266115271,0.131753471,0.085793297,0.307831689,0.020479443,0.104678415,3
0.025805803,0.029533999,0.006795527,0.037849809,0.052466267,0.522941362,5
0.031176251,0.025466443,0.004262182,0.057580028,0.046915665,0.5264513,5
0.25290441,0.221902909,0.077580845,0.224884236,0.042468535,0.37915784,2
0.247232287,0.230126448,0.077776742,0.218643044,0.043444529,0.376966241,2
0.267570226,0.234194005,0.069611839,0.235554661,0.02072892,0.073979132,3
0.246119859,0.248386241,0.057839011,0.178981276,0.13139615,0.358233425,2
0.286930863,0.387390574,0.049286118,0.217837729,0.026159715,0.07153964,3
0.185555412,0.145370943,0.092090523,0.354137306,0.026696292,0.092537297,4
0.218268321,0.214917322,0.048129756,0.172337427,0.090493151,0.357281291,2
0.178522608,0.161022195,0.101177853,0.352526676,0.030869106,0.425203948,2
0.155447595,0.053320364,0.105987786,0.348298772,0.0340988,0.394138459,2
0.228767248,0.117119109,0.034413175,0.113146769,0.030397911,0.359455988,1
0.225209994,0.117693872,0.032111863,0.119991947,0.033858089,0.379405733,1
0.264974562,0.217570077,0.291591462,0.873364204,0.018776201,0.199542525,2
0.226404125,0.143514015,0.074457908,0.268773908,0.019808812,0.098717718,3
0.229408308,0.35365638,0.053793646,0.168914838,0.024311827,0.106436201,3
0.482180735,0.228755858,0.134765599,0.31266358,0.010715482,0.305550548,2
0.217793811,0.1191971,0.032478932,0.122005235,0.037118099,0.38687069,1
0.52555912,0.298744363,0.241344879,0.66941816,0.011373694,0.232788345,2
0.031015986,0.022459988,0.005715242,0.056976042,0.047263764,0.528924595,5
0.214161139,0.12109824,0.24388393,0.576404268,0.018656028,0.141163745,1
0.227101749,0.117163321,0.033395653,0.114958728,0.030391702,0.354030513,1
0.252885555,0.209567601,0.078328296,0.231930743,0.041395014,0.381310001,2
0.25004478,0.150897515,0.074353303,0.253875579,0.019132702,0.083331455,3
