starttime,speed,volume,occupancy
2009-01-01T00:00:00,58.22,NA,1.93
2009-01-01T00:05:00,57.37,19,1.54
2009-01-01T00:10:00,129.0523684,NA,1.47
2009-01-01T00:15:00,NA,30,NA
2009-01-01T00:20:00,55.34,35,9.122926625
2009-01-01T00:25:00,NA,74.68058711,2.73
2009-01-01T00:30:00,NA,NA,NA
2009-01-01T00:35:00,57.56,NA,NA
2009-01-01T00:40:00,121.740294,36,2.87
2009-01-01T00:45:00,NA,82.52351918,NA
2009-01-01T00:50:00,57.34,38,3.13
2009-01-01T00:55:00,56.46,NA,3.13
2009-01-01T01:00:00,NA,NA,2.4
2009-01-01T01:05:00,NA,68.08570194,NA
2009-01-01T01:10:00,NA,NA,NA
2009-01-01T01:15:00,56.09,33,3.47
2009-01-01T01:20:00,56.4,30,2.47
2009-01-01T01:25:00,115.2140901,31,9.136100655
2009-01-01T01:30:00,127.6676092,28,2.27
2009-01-01T01:35:00,NA,NA,2
2009-01-01T01:40:00,54.74,38,2.8
2009-01-01T01:45:00,131.4386483,NA,2.93
2009-01-01T01:50:00,NA,19,NA
2009-01-01T01:55:00,58.5,NA,2.13
2009-01-01T02:00:00,NA,NA,NA
2009-01-01T02:05:00,59.39,23,8.681166181
2009-01-01T02:10:00,57.78,27,10.34438472
2009-01-01T02:15:00,56.21,14,1.27
2009-01-01T02:20:00,NA,21,1.4
2009-01-01T02:25:00,NA,66.15918763,2.13
2009-01-01T02:30:00,58.45,NA,NA
2009-01-01T02:35:00,53.29,NA,NA
2009-01-01T02:40:00,58.3,20,NA
2009-01-01T02:45:00,56.64,22,1.2
2009-01-01T02:50:00,56.91,22,2.13
2009-01-01T02:55:00,55.69,53.57248262,0.93
2009-01-01T03:00:00,121.7595416,NA,1.8
2009-01-01T03:05:00,58.29,17,1.13
2009-01-01T03:10:00,59.87,23,9.817541605
2009-01-01T03:15:00,62.33,15,NA
2009-01-01T03:20:00,142.2110177,10,0.33
2009-01-01T03:25:00,NA,16,8.668233058
2009-01-01T03:30:00,134.9992566,22,8.921411229
2009-01-01T03:35:00,59.67,12,1.13
2009-01-01T03:40:00,59,5,0.2
2009-01-01T03:45:00,56.67,65.92806622,1.13
2009-01-01T03:50:00,56.3,20,1.53
2009-01-01T03:55:00,NA,7,NA
2009-01-01T04:00:00,58,NA,0.53
2009-01-01T04:05:00,57,13,0.93
2009-01-01T04:10:00,53.5,NA,NA
2009-01-01T04:15:00,57.23,NA,1.13
2009-01-01T04:20:00,NA,16,NA
2009-01-01T04:25:00,57.47,15,NA
2009-01-01T04:30:00,NA,NA,8.324204138
2009-01-01T04:35:00,61.68,19,NA
2009-01-01T04:40:00,57.65,NA,1.53
2009-01-01T04:45:00,NA,14,1.13
2009-01-01T04:50:00,60.57,NA,NA
2009-01-01T04:55:00,59.95,19,1.07
2009-01-01T05:00:00,56.54,13,7.038031237
2009-01-01T05:05:00,NA,NA,NA
2009-01-01T05:10:00,62.42,52.32897834,0.47
2009-01-01T05:15:00,58.45,22,NA
2009-01-01T05:20:00,136.5671181,13,NA
2009-01-01T05:25:00,58.31,80.61382748,3.07
2009-01-01T05:30:00,57.59,17,NA
2009-01-01T05:35:00,59.96,23,1.47
2009-01-01T05:40:00,120.9548735,NA,NA
2009-01-01T05:45:00,136.9825352,74.35449845,NA
2009-01-01T05:50:00,60.38,NA,8.603615949
2009-01-01T05:55:00,124.7630454,NA,NA
2009-01-01T06:00:00,60.33,9,NA
2009-01-01T06:05:00,58.21,NA,NA
2009-01-01T06:10:00,58.5,8,0.47
2009-01-01T06:15:00,NA,17,1.53
2009-01-01T06:20:00,57.89,36,NA
2009-01-01T06:25:00,61.57,21,1.13
2009-01-01T06:30:00,58.88,78.05520956,NA
2009-01-01T06:35:00,NA,27,9.299850838
2009-01-01T06:40:00,59.12,17,1.07
2009-01-01T06:45:00,129.7672177,15,0.73
2009-01-01T06:50:00,NA,26,2.93
2009-01-01T06:55:00,56.24,NA,1.47
2009-01-01T07:00:00,56.82,11,1.2
2009-01-01T07:05:00,NA,22,1.07
2009-01-01T07:10:00,57.83,24,2.93
2009-01-01T07:15:00,54.5,69.03720894,0.93
2009-01-01T07:20:00,57.22,18,2.67
2009-01-01T07:25:00,131.0409491,26,2.27
2009-01-01T07:30:00,56,30,9.815699382
2009-01-01T07:35:00,56.24,29,NA
2009-01-01T07:40:00,56.73,NA,9.410896821
2009-01-01T07:45:00,59.24,29,NA
2009-01-01T07:50:00,131.7018296,27,1.8
2009-01-01T07:55:00,58.03,33,2.87
2009-01-01T08:00:00,NA,26,1.87
2009-01-01T08:05:00,124.2890041,28,2.07
2009-01-01T08:10:00,NA,NA,4.47
2009-01-01T08:15:00,59.73,NA,10.09237163
2009-01-01T08:20:00,130.545234,97.67582912,10.97932705
2009-01-01T08:25:00,132.9380392,42,3.67
2009-01-01T08:30:00,59.93,NA,9.536111074
2009-01-01T08:35:00,58.61,33,3
2009-01-01T08:40:00,132.9111431,34,2.87
2009-01-01T08:45:00,57.23,NA,2.27
2009-01-01T08:50:00,60.63,35,NA
2009-01-01T08:55:00,58.95,42,3.6
2009-01-01T09:00:00,NA,47,4.67
2009-01-01T09:05:00,58.67,43,NA
2009-01-01T09:10:00,61.46,26,2.62
2009-01-01T09:15:00,NA,43,5.18
2009-01-01T09:20:00,57.5,NA,3.67
2009-01-01T09:25:00,57.94,50,5
2009-01-01T09:30:00,NA,50,4.4
2009-01-01T09:35:00,NA,65,NA
2009-01-01T09:40:00,135.3943152,53,4.67
2009-01-01T09:45:00,NA,65,5.13
2009-01-01T09:50:00,58.49,NA,5.47
2009-01-01T09:55:00,61.66,NA,3.73
2009-01-01T10:00:00,122.0983071,64,6.6
2009-01-01T10:05:00,58.4,45,4.13
2009-01-01T10:10:00,60.56,66,6.73
2009-01-01T10:15:00,NA,62,NA
2009-01-01T10:20:00,60.35,NA,NA
2009-01-01T10:25:00,57,97.91003397,4.4
2009-01-01T10:30:00,NA,57,NA
2009-01-01T10:35:00,62.39,66,6.13
2009-01-01T10:40:00,58.51,112.9891339,6.73
2009-01-01T10:45:00,60.12,77,6.67
2009-01-01T10:50:00,NA,NA,NA
2009-01-01T10:55:00,61.23,75,13.59489952
2009-01-01T11:00:00,61.42,NA,NA
2009-01-01T11:05:00,NA,70,12.2439112
2009-01-01T11:10:00,60.88,75,NA
2009-01-01T11:15:00,59,65,6.2
2009-01-01T11:20:00,59.92,88,7.8
2009-01-01T11:25:00,59.47,83,NA
2009-01-01T11:30:00,NA,89.88282065,NA
2009-01-01T11:35:00,129.7447276,NA,6.87
2009-01-01T11:40:00,125.0084244,110.6225889,6.54
2009-01-01T11:45:00,NA,NA,4.82
2009-01-01T11:50:00,62.49,113.9837433,13.55459906
2009-01-01T11:55:00,NA,NA,NA
2009-01-01T12:00:00,60.36,56,5.53
2009-01-01T12:05:00,60.96,NA,6.67
2009-01-01T12:10:00,58,68,NA
2009-01-01T12:15:00,119.350221,127.2148682,NA
2009-01-01T12:20:00,59.97,154.0557744,8.67
2009-01-01T12:25:00,122.1710336,80,6.8
