,starttime,resolution,speed,volume,occupancy
2,2011-03-01T00:00:00,0:05:00,NA,NA,NA
3,2011-03-01T00:05:00,0:05:00,NA,NA,NA
5,2011-03-01T00:10:00,0:05:00,NA,NA,NA
8,2011-03-01T00:15:00,0:05:00,NA,NA,NA
9,2011-03-01T00:20:00,0:05:00,NA,NA,NA
12,2011-03-01T00:25:00,0:05:00,NA,NA,NA
13,2011-03-01T00:30:00,0:05:00,NA,NA,NA
16,2011-03-01T00:35:00,0:05:00,NA,NA,NA
18,2011-03-01T00:40:00,0:05:00,NA,NA,NA
19,2011-03-01T00:45:00,0:05:00,NA,NA,NA
22,2011-03-01T00:50:00,0:05:00,NA,NA,NA
24,2011-03-01T00:55:00,0:05:00,NA,NA,NA
26,2011-03-01T01:00:00,0:05:00,NA,NA,NA
28,2011-03-01T01:05:00,0:05:00,NA,NA,NA
30,2011-03-01T01:10:00,0:05:00,NA,NA,NA
32,2011-03-01T01:15:00,0:05:00,NA,NA,NA
34,2011-03-01T01:20:00,0:05:00,NA,NA,NA
36,2011-03-01T01:25:00,0:05:00,NA,NA,NA
38,2011-03-01T01:30:00,0:05:00,NA,NA,NA
40,2011-03-01T01:35:00,0:05:00,NA,NA,NA
41,2011-03-01T01:40:00,0:05:00,NA,NA,NA
44,2011-03-01T01:45:00,0:05:00,NA,NA,NA
45,2011-03-01T01:50:00,0:05:00,NA,NA,NA
48,2011-03-01T01:55:00,0:05:00,NA,NA,NA
50,2011-03-01T02:00:00,0:05:00,NA,NA,NA
52,2011-03-01T02:05:00,0:05:00,NA,NA,NA
53,2011-03-01T02:10:00,0:05:00,NA,NA,NA
56,2011-03-01T02:15:00,0:05:00,NA,NA,NA
58,2011-03-01T02:20:00,0:05:00,NA,NA,NA
60,2011-03-01T02:25:00,0:05:00,NA,NA,NA
62,2011-03-01T02:30:00,0:05:00,NA,NA,NA
63,2011-03-01T02:35:00,0:05:00,NA,NA,NA
66,2011-03-01T02:40:00,0:05:00,NA,NA,NA
68,2011-03-01T02:45:00,0:05:00,NA,NA,NA
70,2011-03-01T02:50:00,0:05:00,NA,NA,NA
72,2011-03-01T02:55:00,0:05:00,NA,NA,NA
74,2011-03-01T03:00:00,0:05:00,NA,NA,NA
76,2011-03-01T03:05:00,0:05:00,NA,NA,NA
78,2011-03-01T03:10:00,0:05:00,NA,NA,NA
80,2011-03-01T03:15:00,0:05:00,NA,NA,NA
82,2011-03-01T03:20:00,0:05:00,NA,NA,NA
84,2011-03-01T03:25:00,0:05:00,NA,NA,NA
86,2011-03-01T03:30:00,0:05:00,NA,NA,NA
88,2011-03-01T03:35:00,0:05:00,NA,NA,NA
90,2011-03-01T03:40:00,0:05:00,NA,NA,NA
92,2011-03-01T03:45:00,0:05:00,NA,NA,NA
94,2011-03-01T03:50:00,0:05:00,NA,NA,NA
96,2011-03-01T03:55:00,0:05:00,NA,NA,NA
98,2011-03-01T04:00:00,0:05:00,NA,NA,NA
100,2011-03-01T04:05:00,0:05:00,NA,NA,NA
102,2011-03-01T04:10:00,0:05:00,NA,NA,NA
104,2011-03-01T04:15:00,0:05:00,NA,NA,NA
106,2011-03-01T04:20:00,0:05:00,NA,NA,NA
108,2011-03-01T04:25:00,0:05:00,NA,NA,NA
110,2011-03-01T04:30:00,0:05:00,NA,NA,NA
112,2011-03-01T04:35:00,0:05:00,NA,NA,NA
114,2011-03-01T04:40:00,0:05:00,NA,NA,NA
116,2011-03-01T04:45:00,0:05:00,NA,NA,NA
118,2011-03-01T04:50:00,0:05:00,NA,NA,NA
120,2011-03-01T04:55:00,0:05:00,NA,NA,NA
122,2011-03-01T05:00:00,0:05:00,NA,NA,NA
124,2011-03-01T05:05:00,0:05:00,NA,NA,NA
126,2011-03-01T05:10:00,0:05:00,NA,NA,NA
128,2011-03-01T05:15:00,0:05:00,NA,NA,NA
130,2011-03-01T05:20:00,0:05:00,NA,NA,NA
132,2011-03-01T05:25:00,0:05:00,NA,NA,NA
134,2011-03-01T05:30:00,0:05:00,NA,NA,NA
136,2011-03-01T05:35:00,0:05:00,NA,NA,NA
138,2011-03-01T05:40:00,0:05:00,NA,NA,NA
140,2011-03-01T05:45:00,0:05:00,NA,NA,NA
142,2011-03-01T05:50:00,0:05:00,NA,NA,NA
144,2011-03-01T05:55:00,0:05:00,NA,NA,NA
146,2011-03-01T06:00:00,0:05:00,NA,NA,NA
148,2011-03-01T06:05:00,0:05:00,NA,NA,NA
150,2011-03-01T06:10:00,0:05:00,NA,NA,NA
152,2011-03-01T06:15:00,0:05:00,NA,NA,NA
154,2011-03-01T06:20:00,0:05:00,NA,NA,NA
156,2011-03-01T06:25:00,0:05:00,NA,NA,NA
158,2011-03-01T06:30:00,0:05:00,NA,NA,NA
160,2011-03-01T06:35:00,0:05:00,NA,NA,NA
162,2011-03-01T06:40:00,0:05:00,NA,NA,NA
164,2011-03-01T06:45:00,0:05:00,NA,NA,NA
166,2011-03-01T06:50:00,0:05:00,NA,NA,NA
168,2011-03-01T06:55:00,0:05:00,NA,NA,NA
170,2011-03-01T07:00:00,0:05:00,NA,NA,NA
172,2011-03-01T07:05:00,0:05:00,NA,NA,NA
174,2011-03-01T07:10:00,0:05:00,NA,NA,NA
176,2011-03-01T07:15:00,0:05:00,NA,NA,NA
178,2011-03-01T07:20:00,0:05:00,NA,NA,NA
180,2011-03-01T07:25:00,0:05:00,NA,NA,NA
182,2011-03-01T07:30:00,0:05:00,NA,NA,NA
184,2011-03-01T07:35:00,0:05:00,NA,NA,NA
186,2011-03-01T07:40:00,0:05:00,NA,NA,NA
188,2011-03-01T07:45:00,0:05:00,NA,NA,NA
190,2011-03-01T07:50:00,0:05:00,NA,NA,NA
192,2011-03-01T07:55:00,0:05:00,NA,NA,NA
194,2011-03-01T08:00:00,0:05:00,NA,NA,NA
