,starttime,resolution,speed,volume,occupancy
7,2014-02-01T00:15:00,0:05:00,64,NA,0
16,2014-02-01T00:35:00,0:05:00,NA,0,0
18,2014-02-01T00:40:00,0:05:00,NA,0,0
20,2014-02-01T00:45:00,0:05:00,67,1,0
21,2014-02-01T00:50:00,0:05:00,59.14,14,1.13
23,2014-02-01T00:55:00,0:05:00,62.33,3,0.17
26,2014-02-01T01:00:00,0:05:00,42.89,9,0.8
28,2014-02-01T01:05:00,0:05:00,58.5,8,0.58
35,2014-02-01T01:25:00,0:05:00,NA,0,NA
43,2014-02-01T01:45:00,0:05:00,NA,0,0
45,2014-02-01T01:50:00,0:05:00,NA,0,0
47,2014-02-01T01:55:00,0:05:00,NA,0,0
50,2014-02-01T02:00:00,0:05:00,NA,0,0
52,2014-02-01T02:05:00,0:05:00,55,1,0.08
53,2014-02-01T02:10:00,0:05:00,58.5,4,0.13
55,2014-02-01T02:15:00,0:05:00,62.8,5,0.42
57,2014-02-01T02:20:00,0:05:00,58.5,4,0.13
60,2014-02-01T02:25:00,0:05:00,62,2,0
61,2014-02-01T02:30:00,0:05:00,72,2,0
63,2014-02-01T02:35:00,0:05:00,NA,0,0
66,2014-02-01T02:40:00,0:05:00,62,4,0.27
67,2014-02-01T02:45:00,0:05:00,56,2,0.83
70,2014-02-01T02:50:00,0:05:00,67.5,4,0.13
77,2014-02-01T03:10:00,0:05:00,NA,2,0.13
85,2014-02-01T03:30:00,0:05:00,63.86,7,0.27
87,2014-02-01T03:35:00,0:05:00,63,5,0.5
89,2014-02-01T03:40:00,0:05:00,67.89,18,0.87
91,2014-02-01T03:45:00,0:05:00,69.5,4,0.17
93,2014-02-01T03:50:00,0:05:00,71,4,0.13
96,2014-02-01T03:55:00,0:05:00,58.8,5,0.25
98,2014-02-01T04:00:00,0:05:00,67,1,0
105,2014-02-01T04:20:00,0:05:00,65.12,17,NA
113,2014-02-01T04:40:00,0:05:00,64.39,46,3.27
115,2014-02-01T04:45:00,0:05:00,64.52,33,2.33
118,2014-02-01T04:50:00,0:05:00,67.64,39,2.2
120,2014-02-01T04:55:00,0:05:00,65.36,22,1.42
122,2014-02-01T05:00:00,0:05:00,64.54,50,3.8
124,2014-02-01T05:05:00,0:05:00,66.46,46,4.58
125,2014-02-01T05:10:00,0:05:00,66.16,67,5.07
133,2014-02-01T05:30:00,0:05:00,62.84,NA,10.13
148,2014-02-01T06:05:00,0:05:00,60.98,NA,12.58
161,2014-02-01T06:40:00,0:05:00,33.16,NA,29.13
176,2014-02-01T07:15:00,0:05:00,NA,138,20.5
183,2014-02-01T07:35:00,0:05:00,42.67,139,20.67
185,2014-02-01T07:40:00,0:05:00,34.56,176,30.07
188,2014-02-01T07:45:00,0:05:00,26.43,103,29.17
190,2014-02-01T07:50:00,0:05:00,29.88,146,30.8
191,2014-02-01T07:55:00,0:05:00,21.5,101,37.33
194,2014-02-01T08:00:00,0:05:00,32.67,147,30.07
196,2014-02-01T08:05:00,0:05:00,37.71,109,22.92
197,2014-02-01T08:10:00,0:05:00,36.36,94,24.56
200,2014-02-01T08:15:00,0:05:00,36.64,121,24.67
201,2014-02-01T08:20:00,0:05:00,37.54,154,26.6
204,2014-02-01T08:25:00,0:05:00,31.88,117,29.42
206,2014-02-01T08:30:00,0:05:00,23.54,137,38.8
207,2014-02-01T08:35:00,0:05:00,44.29,132,20
210,2014-02-01T08:40:00,0:05:00,45.84,138,25.89
211,2014-02-01T08:45:00,0:05:00,34.99,134,23.42
214,2014-02-01T08:50:00,0:05:00,40.68,168,22.8
216,2014-02-01T08:55:00,0:05:00,34.1,133,29.58
217,2014-02-01T09:00:00,0:05:00,40.58,151,25.33
219,2014-02-01T09:05:00,0:05:00,61.89,87,9.75
221,2014-02-01T09:10:00,0:05:00,60.44,152,13.33
223,2014-02-01T09:15:00,0:05:00,59.57,116,13.92
226,2014-02-01T09:20:00,0:05:00,61.3,99,15.67
227,2014-02-01T09:25:00,0:05:00,61.87,127,13.58
230,2014-02-01T09:30:00,0:05:00,61.64,103,8.2
232,2014-02-01T09:35:00,0:05:00,62.79,89,8.92
233,2014-02-01T09:40:00,0:05:00,60,17,1.67
236,2014-02-01T09:45:00,0:05:00,63.22,59,12.33
238,2014-02-01T09:50:00,0:05:00,61.6,155,13.33
239,2014-02-01T09:55:00,0:05:00,62.14,42,8.33
242,2014-02-01T10:00:00,0:05:00,61.51,152,12.47
243,2014-02-01T10:05:00,0:05:00,63.78,110,11.17
245,2014-02-01T10:10:00,0:05:00,59.44,91,14.44
248,2014-02-01T10:15:00,0:05:00,62.48,116,12.5
250,2014-02-01T10:20:00,0:05:00,62.38,126,10.87
252,2014-02-01T10:25:00,0:05:00,63.66,58,6.75
260,2014-02-01T10:45:00,0:05:00,64.69,111,NA
273,2014-02-01T11:20:00,0:05:00,NA,101,7.73
282,2014-02-01T11:40:00,0:05:00,64.91,92,7.27
284,2014-02-01T11:45:00,0:05:00,62.54,106,11.5
286,2014-02-01T11:50:00,0:05:00,63.63,103,8.13
287,2014-02-01T11:55:00,0:05:00,64,82,9.67
290,2014-02-01T12:00:00,0:05:00,61.2,146,13.4
292,2014-02-01T12:05:00,0:05:00,60.26,119,13.33
294,2014-02-01T12:10:00,0:05:00,62.25,117,10.33
302,2014-02-01T12:30:00,0:05:00,NA,129,11
309,2014-02-01T12:50:00,0:05:00,64.39,88,6.27
311,2014-02-01T12:55:00,0:05:00,62.35,71,7.67
314,2014-02-01T13:00:00,0:05:00,62.47,94,7.8
315,2014-02-01T13:05:00,0:05:00,62.06,85,8.83
318,2014-02-01T13:10:00,0:05:00,63.38,52,4.13
320,2014-02-01T13:15:00,0:05:00,60.47,34,3.92
321,2014-02-01T13:20:00,0:05:00,62.68,63,8.22
329,2014-02-01T13:40:00,0:05:00,62.17,NA,8.07
338,2014-02-01T14:00:00,0:05:00,61.42,110,9.07
340,2014-02-01T14:05:00,0:05:00,63.48,79,7.67
342,2014-02-01T14:10:00,0:05:00,61.55,132,12.4
343,2014-02-01T14:15:00,0:05:00,61.79,115,11.92
345,2014-02-01T14:20:00,0:05:00,62.31,115,8.73
348,2014-02-01T14:25:00,0:05:00,61.52,145,15.25
350,2014-02-01T14:30:00,0:05:00,62.29,119,9.2
352,2014-02-01T14:35:00,0:05:00,64.12,111,11.58
354,2014-02-01T14:40:00,0:05:00,63.09,173,14.93
356,2014-02-01T14:45:00,0:05:00,61.27,131,13.33
357,2014-02-01T14:50:00,0:05:00,63.66,123,10
359,2014-02-01T14:55:00,0:05:00,60.45,123,13.17
362,2014-02-01T15:00:00,0:05:00,64.3,146,11.4
364,2014-02-01T15:05:00,0:05:00,61.9,112,12.25
366,2014-02-01T15:10:00,0:05:00,62.71,158,12.93
368,2014-02-01T15:15:00,0:05:00,61.7,118,13.08
369,2014-02-01T15:20:00,0:05:00,60.35,153,13
371,2014-02-01T15:25:00,0:05:00,61.66,148,14.75
373,2014-02-01T15:30:00,0:05:00,61.88,169,13.93
375,2014-02-01T15:35:00,0:05:00,62.5,140,15.75
378,2014-02-01T15:40:00,0:05:00,61.31,150,12.13
380,2014-02-01T15:45:00,0:05:00,61.16,147,16.5
381,2014-02-01T15:50:00,0:05:00,62.41,150,12.73
384,2014-02-01T15:55:00,0:05:00,61.36,159,16.17
386,2014-02-01T16:00:00,0:05:00,63.86,165,13.93
387,2014-02-01T16:05:00,0:05:00,58.08,159,18.42
390,2014-02-01T16:10:00,0:05:00,61.01,175,15.87
391,2014-02-01T16:15:00,0:05:00,59.99,146,15.5
400,2014-02-01T16:35:00,0:05:00,61.65,NA,13.5
413,2014-02-01T17:10:00,0:05:00,61.11,94,NA
