,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
3745,A1 SH,CHURCHMAN BIBLE,2917.5,63.5,0.705,4.916,12.174,3.162,1,1,3
3746,A1 SH,CHURCHMAN BIBLE,2918,80.875,0.709,7.514,13.286,2.932,1,0.95,3
3747,A1 SH,CHURCHMAN BIBLE,2918.5,87.813,0.7,7.785,13.212,2.953,1,0.9,3
3748,A1 SH,CHURCHMAN BIBLE,2919,86.75,0.685,7.547,13.547,3.42,1,0.85,3
3749,A1 SH,CHURCHMAN BIBLE,2919.5,79.438,0.669,5.912,12.252,3.324,1,0.8,3
3750,A1 SH,CHURCHMAN BIBLE,2920,77.5,0.658,4.537,11.332,3.324,1,0.75,2
3751,A1 SH,CHURCHMAN BIBLE,2920.5,72.75,0.658,3.974,11.114,3.127,1,0.7,2
3752,A1 SH,CHURCHMAN BIBLE,2921,76.563,0.671,4.98,14.746,2.818,1,0.65,2
3753,A1 SH,CHURCHMAN BIBLE,2921.5,79.625,0.686,4.552,18.202,2.684,1,0.6,2
3754,A1 SH,CHURCHMAN BIBLE,2922,74.25,0.687,3.621,17.961,2.557,1,0.55,1
3755,A1 SH,CHURCHMAN BIBLE,2922.5,71,0.679,1.003,14.769,2.787,1,0.5,1
3756,A1 SH,CHURCHMAN BIBLE,2923,67.438,0.66,0.746,11.998,2.795,1,0.45,1
3757,A1 SH,CHURCHMAN BIBLE,2923.5,70,0.643,1.838,10.809,2.635,1,0.4,1
3758,A1 SH,CHURCHMAN BIBLE,2924,66.438,0.644,2.744,11.025,2.621,1,0.35,1
3759,A1 SH,CHURCHMAN BIBLE,2924.5,67.25,0.652,2.922,11.776,2.59,1,0.3,1
3760,A1 SH,CHURCHMAN BIBLE,2925,71.563,0.661,3.286,12.485,2.9,1,0.25,1
3761,A1 SH,CHURCHMAN BIBLE,2925.5,70.125,0.68,5.487,13.312,3.063,1,0.2,1
3762,A1 SH,CHURCHMAN BIBLE,2926,69.25,0.734,4.784,13.527,3.01,1,0.1,3
3763,A1 SH,CHURCHMAN BIBLE,2926.5,65.625,0.77,1.439,10.182,3.277,1,0.05,3
3764,A1 LM,CHURCHMAN BIBLE,2927,53.125,0.826,1.122,4.835,4.008,2,1,8
3765,A1 LM,CHURCHMAN BIBLE,2927.5,40.25,0.873,-1.021,5.318,4.52,2,0.989,8
3766,A1 LM,CHURCHMAN BIBLE,2928,33.625,0.906,0.046,4.788,4.375,2,0.978,8
3767,A1 LM,CHURCHMAN BIBLE,2928.5,35.063,0.951,0.086,5.285,3.943,2,0.967,8
3768,A1 LM,CHURCHMAN BIBLE,2929,35.844,0.99,-0.207,5.676,3.58,2,0.957,8
3769,A1 LM,CHURCHMAN BIBLE,2929.5,39.594,1.003,-1.041,6.217,3.395,2,0.946,8
3770,A1 LM,CHURCHMAN BIBLE,2930,39.969,0.994,-1.57,6.599,3.467,2,0.935,6
3771,A1 LM,CHURCHMAN BIBLE,2930.5,40.688,0.984,-1.863,6.306,3.547,2,0.924,6
3772,A1 LM,CHURCHMAN BIBLE,2931,39.875,0.939,-1.698,5.214,3.799,2,0.913,6
