,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
1386,A1 SH,LUKE G U,2610.5,74.9,0.782,9.3,11.75,4.084,1,1,3
1387,A1 SH,LUKE G U,2611,83.8,0.745,12,13.1,3.501,1,0.981,3
1388,A1 SH,LUKE G U,2611.5,86.97,0.726,12.9,12.55,3.4,1,0.962,3
1389,A1 SH,LUKE G U,2612,84.43,0.708,13.2,12,3.4,1,0.943,3
1390,A1 SH,LUKE G U,2612.5,78.51,0.708,11.8,11.4,3.4,1,0.925,3
1391,A1 SH,LUKE G U,2613,73.88,0.708,11.3,11.55,3.5,1,0.906,3
1392,A1 SH,LUKE G U,2613.5,71.61,0.717,11.5,11.25,3.6,1,0.887,2
1393,A1 SH,LUKE G U,2614,69.86,0.726,11.7,11.05,3.7,1,0.868,2
1394,A1 SH,LUKE G U,2614.5,69.25,0.736,11.1,10.65,3.7,1,0.849,2
1395,A1 SH,LUKE G U,2615,68.29,0.726,8.6,9.7,3.7,1,0.83,2
1396,A1 SH,LUKE G U,2615.5,68.5,0.717,7.8,9.8,3.7,1,0.811,2
1397,A1 SH,LUKE G U,2616,73.65,0.675,6.3,10.65,3.5,1,0.792,2
1398,A1 SH,LUKE G U,2616.5,92.68,0.567,9.2,13.2,3.3,1,0.774,2
1399,A1 SH,LUKE G U,2617,107.22,0.483,11.3,15.75,3.3,1,0.755,2
1400,A1 SH,LUKE G U,2617.5,132.81,0.436,16.7,19.65,3.4,1,0.736,2
1401,A1 SH,LUKE G U,2618,151.94,0.399,0,29.9,3.6,1,0.717,2
1402,A1 SH,LUKE G U,2618.5,154.37,0.39,3.1,31.45,3.4,1,0.698,2
1403,A1 SH,LUKE G U,2619,153.77,0.39,8.4,34.1,3,1,0.679,2
1404,A1 SH,LUKE G U,2619.5,132.29,0.39,8.2,34.1,2.8,1,0.66,2
1405,A1 SH,LUKE G U,2620,102.28,0.418,0,30,2.6,1,0.642,3
1406,A1 SH,LUKE G U,2620.5,77.82,0.436,17.9,20.15,2.4,1,0.623,3
1407,A1 SH,LUKE G U,2621,67.52,0.446,10.1,12.25,2.5,1,0.604,3
1408,A1 SH,LUKE G U,2621.5,61.32,0.455,7,8.1,2.8,1,0.585,3
1409,A1 SH,LUKE G U,2622,58.69,0.455,7.1,7.95,3,1,0.566,2
1410,A1 SH,LUKE G U,2622.5,54.36,0.465,6.3,8.55,3.3,1,0.547,2
1411,A1 SH,LUKE G U,2623,52.75,0.455,4.8,10.4,3.5,1,0.528,2
1412,A1 SH,LUKE G U,2623.5,51.96,0.465,4.7,11.15,3.4,1,0.509,2
1413,A1 SH,LUKE G U,2624,54.01,0.483,4.5,11.65,3.4,1,0.491,2
1414,A1 SH,LUKE G U,2624.5,54.16,0.493,4.6,12.2,3.4,1,0.472,2
1415,A1 SH,LUKE G U,2625,54.27,0.493,5.1,12.95,3.4,1,0.453,2
1416,A1 SH,LUKE G U,2625.5,55.84,0.483,4.7,13.35,3.6,1,0.434,2
1417,A1 SH,LUKE G U,2626,57.43,0.446,4.8,13.5,3.6,1,0.415,2
1418,A1 SH,LUKE G U,2626.5,58.22,0.362,4.9,13.75,3.5,1,0.396,2
1419,A1 SH,LUKE G U,2627,58.88,0.315,4,14.6,3.3,1,0.377,2
1420,A1 SH,LUKE G U,2627.5,60.6,0.306,4.5,15.25,3.2,1,0.358,2
1421,A1 SH,LUKE G U,2628,62.57,0.296,4.7,15.35,3.1,1,0.34,2
1422,A1 SH,LUKE G U,2628.5,66.19,0.32,5.3,15.35,3.1,1,0.321,2
1423,A1 SH,LUKE G U,2629,78.95,0.347,7.3,14.85,3.1,1,0.302,2
1424,A1 SH,LUKE G U,2629.5,84.77,0.373,8.6,14.3,3.1,1,0.283,2
1425,A1 SH,LUKE G U,2630,80.83,0.398,8.6,13.4,3.1,1,0.264,2
1426,A1 SH,LUKE G U,2630.5,66.48,0.421,6.5,12.35,3.1,1,0.245,2
1427,A1 SH,LUKE G U,2631,63.09,0.441,3.9,11.15,3.1,1,0.226,2
1428,A1 SH,LUKE G U,2631.5,62.7,0.465,3.9,10.95,3.1,1,0.208,2
1429,A1 SH,LUKE G U,2632,63.45,0.465,4.3,11.05,3.1,1,0.189,2
1430,A1 SH,LUKE G U,2632.5,66.94,0.446,5.6,11.8,3.1,1,0.17,2
1431,A1 SH,LUKE G U,2633,77.94,0.436,6.7,13.05,3.2,1,0.151,2
1432,A1 SH,LUKE G U,2633.5,81.4,0.418,8.1,14.15,3.2,1,0.132,2
1433,A1 SH,LUKE G U,2634,80.74,0.399,9.9,15.75,3.2,1,0.113,3
1434,A1 SH,LUKE G U,2634.5,76.45,0.39,10.6,16.5,3.2,1,0.094,2
1435,A1 SH,LUKE G U,2635,74.99,0.38,11,17,3.1,1,0.075,2
1436,A1 SH,LUKE G U,2635.5,75.21,0.38,14.2,19.5,3.1,1,0.057,2
1437,A1 SH,LUKE G U,2636,75.05,0.385,12.6,23.3,3.1,1,0.038,2
1438,A1 SH,LUKE G U,2636.5,62.14,0.413,9.5,24.65,3.1,1,0.019,2
1439,A1 LM,LUKE G U,2637,46.66,0.458,2.8,21.4,3.2,2,1,8
1440,A1 LM,LUKE G U,2637.5,29.68,0.499,4.6,16.7,3.4,2,0.985,8
1441,A1 LM,LUKE G U,2638,18.97,0.558,-0.3,11.35,3.9,2,0.97,8
