,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
3282,A1 SH,NEWBY,2826,76.34,0.719,7.8,11,3.7,1,1,3
3283,A1 SH,NEWBY,2826.5,83.74,0.688,9.7,12.55,3.4,1,0.977,3
3284,A1 SH,NEWBY,2827,83.19,0.664,10.1,11.95,3.4,1,0.953,3
3285,A1 SH,NEWBY,2827.5,80.44,0.648,10.1,11.15,3.4,1,0.93,3
3286,A1 SH,NEWBY,2828,75.42,0.648,9.3,11.45,3.3,1,0.907,3
3287,A1 SH,NEWBY,2828.5,71.5,0.663,9.2,11.6,3.3,1,0.884,3
3288,A1 SH,NEWBY,2829,69.63,0.685,8.7,11.35,3.3,1,0.86,3
3289,A1 SH,NEWBY,2829.5,70.01,0.705,8.6,11.1,3.4,1,0.837,3
3290,A1 SH,NEWBY,2830,67.56,0.717,8.6,10.8,3.4,1,0.814,3
3291,A1 SH,NEWBY,2830.5,67.33,0.719,7.3,10.75,3.4,1,0.791,3
3292,A1 SH,NEWBY,2831,64.77,0.718,6.3,10.45,3.3,1,0.767,3
3293,A1 SH,NEWBY,2831.5,64.8,0.715,5.7,10.05,3.4,1,0.744,3
3294,A1 SH,NEWBY,2832,66.25,0.716,4.9,10.45,3.5,1,0.721,2
3295,A1 SH,NEWBY,2832.5,66.55,0.719,6.4,10.4,3.5,1,0.698,2
3296,A1 SH,NEWBY,2833,66.13,0.723,7.9,9.85,3.5,1,0.674,2
3297,A1 SH,NEWBY,2833.5,65.54,0.723,8.1,8.65,3.5,1,0.651,2
3298,A1 SH,NEWBY,2834,63.07,0.721,5.5,7.75,3.5,1,0.628,2
3299,A1 SH,NEWBY,2834.5,59.71,0.72,3.7,7.05,3.4,1,0.605,2
3300,A1 SH,NEWBY,2835,57.86,0.721,2.2,7.1,3.3,1,0.581,2
3301,A1 SH,NEWBY,2835.5,54.8,0.723,1,7.4,3.3,1,0.558,2
3302,A1 SH,NEWBY,2836,51.8,0.722,0.6,7.5,3.3,1,0.535,2
3303,A1 SH,NEWBY,2836.5,52.62,0.717,1.3,7.45,3.3,1,0.512,2
3304,A1 SH,NEWBY,2837,53.66,0.706,1.5,7.85,3.4,1,0.488,2
3305,A1 SH,NEWBY,2837.5,55.79,0.688,2.1,8.25,3.3,1,0.465,2
3306,A1 SH,NEWBY,2838,58.54,0.666,2.1,8.85,3.2,1,0.442,2
3307,A1 SH,NEWBY,2838.5,60.95,0.639,2.1,9.65,3.3,1,0.419,2
3308,A1 SH,NEWBY,2839,66.56,0.613,3.7,10.65,3.3,1,0.395,2
3309,A1 SH,NEWBY,2839.5,70.88,0.589,5.6,11.4,3.2,1,0.372,2
3310,A1 SH,NEWBY,2840,71.57,0.571,6.3,12.45,3.1,1,0.349,2
3311,A1 SH,NEWBY,2840.5,72.53,0.555,6.3,13.45,3.2,1,0.326,3
