,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
3202,C LM,Recruit F9,3018,32.78,0.723,1.2,13.11,5.1,2,0.186,9
3203,C LM,Recruit F9,3018.5,23.5,0.711,0.3,12.3,5.2,2,0.176,9
3204,C LM,Recruit F9,3019,28.33,0.706,0.5,11.79,5.3,2,0.167,9
3205,C LM,Recruit F9,3019.5,31.12,0.704,1.7,11.325,5.3,2,0.157,9
3206,C LM,Recruit F9,3020,28.68,0.709,1.9,11.165,5.4,2,0.147,9
3207,C LM,Recruit F9,3020.5,31.67,0.721,1.6,10.535,5.4,2,0.137,9
3208,C LM,Recruit F9,3021,39.75,0.733,0.9,10.04,5.5,2,0.127,9
3209,C LM,Recruit F9,3021.5,36.56,0.747,2,8.545,5.3,2,0.118,9
3210,C LM,Recruit F9,3022,36.56,0.747,2,8.545,5.3,2,0.118,9
3211,C LM,Recruit F9,3022.5,37.21,0.764,2.7,7.73,5.6,2,0.108,9
3212,C LM,Recruit F9,3023,35.8,0.777,2.5,8.195,5.7,2,0.098,9
3213,C LM,Recruit F9,3023.5,36.56,0.784,1.4,10.29,5.8,2,0.088,9
3219,A1 LM,Recruit F9,2843,36.084,0.882,1.6,8.2,4.125,2,0.645,9
3220,A1 LM,Recruit F9,2843.5,29.344,0.897,0.1,7.25,4.23,2,0.632,9
3221,B2 LM,Recruit F9,2914,19.462,0.598,3.4,6.8,6.321,2,0.556,9
3222,B2 LM,Recruit F9,2914.5,19.552,0.581,3.1,6.95,6.16,2,0.519,9
3223,B2 LM,Recruit F9,2915,20.653,0.529,0.9,8.65,5.865,2,0.481,9
3224,B2 LM,Recruit F9,2915.5,23.371,0.45,-1,11.3,5.315,2,0.444,9
3232,B2 LM,Recruit F9,3009.5,31.453,0.899,0.99,12.242,4.52,2,0.833,9
3233,B2 LM,Recruit F9,3010,37.844,0.895,1.105,12.128,4.727,2,0.8,9
3234,B2 LM,Recruit F9,3010.5,43.313,0.898,0.916,12.512,4.687,2,0.767,9
3235,B2 LM,Recruit F9,3011,41.906,0.891,0.793,13.074,4.594,2,0.733,9
3236,B2 LM,Recruit F9,3011.5,35.063,0.878,0.492,13.229,4.867,2,0.7,9
3237,B2 LM,Recruit F9,3012,32.531,0.867,-0.022,12.376,4.93,2,0.667,9
3238,B2 LM,Recruit F9,3012.5,30.906,0.85,-1.111,11.17,5.352,2,0.633,9
3239,B2 LM,Recruit F9,3013,32.188,0.821,-1.42,9.721,4.961,2,0.6,9
3240,B2 LM,Recruit F9,3013.5,34.281,0.778,-1.263,9.076,5.012,2,0.567,9
3241,B2 LM,Recruit F9,3014,40.844,0.724,-0.57,8.284,4.652,2,0.533,9
