Formation,Wel_Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
A1 SH,KIMZEY A,2918.5,73.816,0.769,5.226,11.348,,1,1,1
A1 SH,KIMZEY A,2919,75.118,0.627,8.198,13.164,,1,0.978,1
A1 SH,KIMZEY A,2919.5,72.434,0.535,10.867,15.0755,,1,0.956,1
A1 SH,KIMZEY A,2920,66.161,0.568,4.566,16.905,,1,0.933,2
A1 SH,KIMZEY A,2920.5,63.104,0.65,2.083,15.8835,,1,0.911,2
A1 SH,KIMZEY A,2921,61.708,0.732,4.292,12.036,,1,0.889,1
A1 SH,KIMZEY A,2921.5,60.478,0.688,4.236,10.908,,1,0.867,2
A1 SH,KIMZEY A,2922,58.876,0.683,2.449,12.1045,,1,0.844,1
A1 SH,KIMZEY A,2922.5,56.785,0.753,2.311,12.9165,,1,0.822,1
A1 SH,KIMZEY A,2923,54.551,0.759,0.748,13.147,,1,0.8,1
A1 SH,KIMZEY A,2923.5,55.816,0.802,0.101,14.3515,,1,0.778,1
A1 SH,KIMZEY A,2924,59.263,0.759,0.936,16.575,,1,0.756,3
A1 SH,KIMZEY A,2924.5,62.969,0.421,1.513,17.7715,,1,0.733,3
A1 SH,KIMZEY A,2925,65.403,0.33,5.722,23.48,,1,0.711,1
A1 SH,KIMZEY A,2925.5,67.745,0.285,6.988,25.213,,1,0.689,3
A1 SH,KIMZEY A,2926,68.45,0.35,5.392,27.221,,1,0.667,3
A1 SH,KIMZEY A,2926.5,68.727,0.475,5.888,30.11,,1,0.644,3
A1 SH,KIMZEY A,2927,66.604,0.677,11.995,16.2725,,1,0.622,2
A1 SH,KIMZEY A,2927.5,63.92,0.721,7.923,12.4755,,1,0.6,2
A1 SH,KIMZEY A,2928,58.267,0.737,7.923,10.7705,,1,0.578,2
A1 SH,KIMZEY A,2928.5,56.916,0.677,6.987,9.7525,,1,0.556,2
A1 SH,KIMZEY A,2929,56.618,0.65,6.492,9.395,,1,0.533,2
A1 SH,KIMZEY A,2929.5,60.636,0.639,6.602,10.055,,1,0.511,2
A1 SH,KIMZEY A,2930,61.96,0.606,6.602,10.495,,1,0.489,3
A1 SH,KIMZEY A,2930.5,64.962,0.59,6.328,11.293,,1,0.467,3
A1 SH,KIMZEY A,2931,67.517,0.563,7.098,12.118,,1,0.444,3
A1 SH,KIMZEY A,2931.5,68.959,0.552,8.308,12.118,,1,0.422,3
A1 SH,KIMZEY A,2932,66.302,0.552,8.473,11.7055,,1,0.4,3
A1 SH,KIMZEY A,2932.5,61.404,0.59,8.033,10.9355,,1,0.378,3
A1 SH,KIMZEY A,2933,56.906,0.623,6.217,10.4675,,1,0.356,2
A1 SH,KIMZEY A,2933.5,55.656,0.655,5.612,11.045,,1,0.333,2
A1 SH,KIMZEY A,2934,55.94,0.639,6.218,11.678,,1,0.311,2
A1 SH,KIMZEY A,2934.5,58.334,0.617,8.143,13.0815,,1,0.289,2
A1 SH,KIMZEY A,2935,59.547,0.59,9.793,14.0715,,1,0.267,2
A1 SH,KIMZEY A,2935.5,62.762,0.601,9.958,14.154,,1,0.244,2
A1 SH,KIMZEY A,2936,65.695,0.633,9.408,13.549,,1,0.222,2
A1 SH,KIMZEY A,2936.5,70.578,0.633,10.399,11.5135,,1,0.2,2
A1 SH,KIMZEY A,2937,73.069,0.601,10.206,11.499,,1,0.178,2
A1 SH,KIMZEY A,2937.5,74.041,0.623,10.894,12.091,,1,0.156,3
A1 SH,KIMZEY A,2938,74.037,0.732,11.389,12.6135,,1,0.133,3
A1 SH,KIMZEY A,2938.5,72.422,0.737,12.27,13.329,,1,0.111,3
A1 SH,KIMZEY A,2939,71.318,0.532,12.819,15.3095,,1,0.089,3
A1 SH,KIMZEY A,2939.5,68.421,0.432,12.6,16.41,,1,0.067,3
A1 SH,KIMZEY A,2940,66.15,0.443,15.571,18.9405,,1,0.044,3
A1 SH,KIMZEY A,2940.5,60.517,0.525,14.47,20.096,,1,0.022,3
A1 LM,KIMZEY A,2941,57.391,0.653,9.262,18.024,,1,1,6
