,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
0,1,7,2793.0,77.45,0.664,9.9,11.915,4.6,1,1.0,3
1,1,7,2793.5,78.26,0.6609999999999999,14.2,12.565,4.1,1,0.9790000000000001,3
2,1,7,2794.0,79.05,0.6579999999999999,14.8,13.05,3.6,1,0.9570000000000001,3
3,1,7,2794.5,86.1,0.655,13.9,13.115,3.5,1,0.9359999999999999,3
4,1,7,2795.0,74.58,0.647,13.5,13.3,3.4,1,0.915,3
5,1,7,2795.5,73.97,0.636,14.0,13.385,3.6,1,0.894,3
6,1,7,2796.0,73.72,0.63,15.6,13.93,3.7,1,0.872,3
7,1,7,2796.5,75.65,0.625,16.5,13.92,3.5,1,0.83,3
8,1,7,2797.0,73.79,0.624,16.2,13.98,3.4,1,0.809,3
9,1,7,2797.5,76.89,0.615,16.9,14.22,3.5,1,0.787,3
10,1,7,2798.0,76.11,0.6,14.8,13.375,3.6,1,0.7659999999999999,3
11,1,7,2798.5,74.95,0.583,13.3,12.69,3.7,1,0.745,3
12,1,7,2799.0,71.87,0.561,11.3,12.475,3.5,1,0.723,3
13,1,7,2799.5,83.42,0.537,13.3,14.93,3.4,1,0.7020000000000001,3
14,1,7,2800.0,90.1,0.519,14.3,16.555,3.2,1,0.6809999999999999,2
15,1,7,2800.5,78.15,0.467,11.8,15.96,3.1,1,0.638,2
16,1,7,2801.0,69.3,0.43799999999999994,9.5,15.12,3.1,1,0.617,2
17,1,7,2801.5,63.54,0.418,8.8,15.19,3.0,1,0.596,2
18,1,7,2802.0,63.87,0.401,7.2,15.39,2.9,1,0.574,2
19,1,7,2802.5,58.32,0.386,6.6,14.885,2.8,1,0.5529999999999999,2
20,1,7,2803.0,56.61,0.369,5.5,14.8,3.0,1,0.532,2
21,1,7,2803.5,55.97,0.35200000000000004,6.1,14.46,3.0,1,0.511,2
22,1,7,2804.0,63.67,0.344,6.0,14.745,3.0,1,0.489,2
23,1,7,2804.5,66.2,0.342,6.8,15.135,3.0,1,0.46799999999999997,2
24,1,7,2805.0,61.27,0.34600000000000003,6.1,15.48,3.0,1,0.447,2
25,1,7,2805.5,69.48,0.354,5.8,14.675,3.0,1,0.40399999999999997,3
26,1,7,2806.0,76.37,0.354,5.2,13.635,3.0,1,0.38299999999999995,3
27,1,7,2806.5,82.2,0.348,7.4,15.055,3.0,1,0.36200000000000004,2
28,1,7,2807.0,90.25,0.34600000000000003,11.5,20.23,3.1,1,0.34,2
29,1,7,2807.5,94.38,0.358,14.2,24.015,3.0,1,0.319,2
30,1,7,2808.0,87.44,0.377,13.9,23.58,3.1,1,0.298,2
31,1,7,2808.5,70.98,0.401,11.5,18.395,3.1,1,0.27699999999999997,2
32,1,7,2809.0,64.72,0.439,10.3,13.815,3.1,1,0.255,2
33,1,7,2809.5,54.29,0.47,9.9,9.44,3.2,1,0.23399999999999999,3
34,1,7,2810.0,41.46,0.493,11.1,5.255,3.4,1,0.213,3
35,1,7,2810.5,50.93,0.524,12.1,5.265,4.6,1,0.17,3
36,1,7,2811.0,72.79,0.5429999999999999,11.3,11.76,4.1,1,0.149,3
37,1,7,2811.5,95.34,0.555,14.1,17.665,3.5,1,0.128,3
38,1,7,2812.0,102.35,0.5579999999999999,15.8,20.145,3.2,1,0.106,3
39,1,7,2812.5,79.7,0.5489999999999999,15.5,18.07,3.2,1,0.085,3
40,1,7,2813.0,66.69,0.53,14.0,15.72,3.3,1,0.064,3
41,1,7,2813.5,73.68,0.521,14.7,15.98,3.3,1,0.043,2
42,1,7,2814.0,71.05,0.535,11.53,18.02,3.3,1,0.021,2
43,0,7,2814.5,57.02,0.628,11.6,12.09,3.5,2,1.0,8
44,0,7,2815.0,43.29,0.7020000000000001,7.3,6.705,4.0,2,0.981,8
45,0,7,2815.5,36.06,0.762,5.7,4.595,5.0,2,0.963,8
46,0,7,2816.0,46.0,0.823,5.1,4.62,5.5,2,0.9440000000000001,8
47,0,7,2816.5,60.3,0.915,4.6,5.01,5.6,2,0.9259999999999999,6
48,0,7,2817.0,75.22,0.9990000000000001,4.4,5.295,5.5,2,0.907,6
49,0,7,2817.5,87.19,1.045,4.7,5.32,5.4,2,0.889,6
50,0,7,2818.0,86.86,1.064,5.2,5.785,5.4,2,0.87,6
51,0,7,2818.5,88.0,1.051,6.5,6.38,5.4,2,0.852,6
52,0,7,2819.0,75.47,1.018,7.8,7.215,5.5,2,0.833,6
53,0,7,2819.5,59.36,0.972,10.0,8.925,4.9,2,0.7959999999999999,6
54,0,7,2820.0,55.57,0.9520000000000001,8.6,9.355,4.5,2,0.778,6
55,0,7,2820.5,46.96,0.924,5.4,9.12,4.3,2,0.759,6
56,0,7,2821.0,43.67,0.8759999999999999,3.6,8.225,4.1,2,0.741,6
57,0,7,2821.5,55.23,0.826,5.1,7.875,4.3,2,0.722,6
58,0,7,2822.0,61.24,0.777,9.7,8.575,4.3,2,0.7040000000000001,6
59,0,7,2822.5,54.46,0.728,12.8,10.66,4.4,2,0.685,6
60,0,7,2823.0,43.23,0.6990000000000001,6.21,12.375,4.0,2,0.667,7
61,0,7,2823.5,44.59,0.682,6.21,13.54,3.9,2,0.648,7
62,0,7,2824.0,47.48,0.6759999999999999,6.21,12.89,3.7,2,0.63,4
63,0,7,2824.5,61.1,0.6709999999999999,6.21,11.785,3.7,2,0.611,4
64,0,7,2825.0,64.82,0.68,9.1,8.97,4.5,2,0.574,4
65,0,7,2825.5,55.77,0.71,6.1,8.93,5.1,2,0.556,4
66,0,7,2826.0,62.22,0.7440000000000001,4.3,9.215,5.5,2,0.537,4
67,0,7,2826.5,55.06,0.7859999999999999,2.9,9.5,5.6,2,0.519,6
68,0,7,2827.0,71.02,0.8390000000000001,3.1,8.89,5.4,2,0.5,6
69,0,7,2827.5,91.37,0.8809999999999999,3.9,8.06,5.3,2,0.48100000000000004,6
70,0,7,2828.0,115.42,0.9109999999999999,5.2,6.875,5.3,2,0.46299999999999997,6
71,0,7,2828.5,115.7,0.94,5.9,6.085,5.2,2,0.444,6
72,0,7,2829.0,107.11,0.972,6.0,6.135,5.6,2,0.426,6
73,0,7,2829.5,93.82,1.008,5.8,6.64,5.6,2,0.40700000000000003,6
74,0,7,2830.0,61.63,1.061,3.6,6.865,6.1,2,0.37,6
75,0,7,2830.5,45.98,1.0759999999999998,3.6,6.25,6.2,2,0.35200000000000004,6
76,0,7,2831.0,32.76,1.071,3.0,6.225,5.8,2,0.33299999999999996,6
77,0,7,2831.5,37.82,1.058,3.6,6.19,5.7,2,0.315,6
78,0,7,2832.0,40.73,1.038,2.3,6.375,5.5,2,0.29600000000000004,6
79,0,7,2832.5,33.42,1.005,2.2,6.61,5.4,2,0.278,6
80,0,7,2833.0,32.08,0.968,2.2,7.355,5.3,2,0.259,6
81,0,7,2833.5,33.82,0.943,2.1,8.33,4.9,2,0.24100000000000002,6
82,0,7,2834.0,45.57,0.924,1.1,8.84,4.7,2,0.222,6
83,0,7,2834.5,53.95,0.9,1.9,8.125,4.6,2,0.204,6
84,0,7,2835.0,59.42,0.875,4.3,7.845,4.6,2,0.185,6
85,0,7,2835.5,68.43,0.8540000000000001,8.3,8.665,4.8,2,0.16699999999999998,6
86,0,7,2836.0,75.88,0.8490000000000001,11.0,10.04,4.6,2,0.14800000000000002,6
87,0,7,2836.5,77.75,0.8640000000000001,11.3,10.85,4.7,2,0.13,6
88,0,7,2837.0,80.93,0.907,9.6,9.815,4.6,2,0.111,6
89,0,7,2837.5,72.92,0.932,7.3,7.475,4.7,2,0.09300000000000001,6
90,0,7,2838.0,65.59,0.92,5.7,5.265,5.0,2,0.07400000000000001,6
91,0,7,2838.5,64.71,0.8859999999999999,3.6,4.045,5.4,2,0.055999999999999994,6
92,0,7,2839.0,60.79,0.8290000000000001,2.9,4.36,5.5,2,0.037000000000000005,6
93,0,7,2839.5,78.55,0.754,2.0,9.795,5.7,2,0.019,6
94,3,7,2840.0,107.77,0.713,1.8,19.545,4.0,1,1.0,3
95,3,7,2840.5,110.87,0.6859999999999999,6.0,26.65,3.3,1,0.9740000000000001,3
96,3,7,2841.0,106.33,0.665,8.6,26.94,2.8,1,0.9490000000000001,3
97,3,7,2841.5,87.85,0.64,9.6,21.77,2.7,1,0.9229999999999999,3
98,3,7,2842.0,80.96,0.601,9.0,15.99,2.9,1,0.897,3
99,3,7,2842.5,66.94,0.568,11.2,12.565,3.5,1,0.872,2
100,3,7,2843.0,61.48,0.561,12.0,11.69,4.2,1,0.846,2
101,3,7,2843.5,58.26,0.568,12.4,12.285,4.2,1,0.821,2
102,3,7,2844.0,51.31,0.585,12.7,11.735,3.9,1,0.795,2
103,3,7,2844.5,67.92,0.583,13.2,11.73,3.9,1,0.769,2
104,3,7,2845.0,67.77,0.5660000000000001,14.1,12.475,3.9,1,0.7440000000000001,2
105,3,7,2845.5,67.73,0.5429999999999999,14.4,13.095,3.8,1,0.718,2
106,3,7,2846.0,68.85,0.516,12.1,13.35,3.7,1,0.6920000000000001,2
107,3,7,2846.5,73.2,0.496,9.7,15.12,3.6,1,0.667,2
108,3,7,2847.0,84.46,0.486,6.1,20.48,3.6,1,0.6409999999999999,3
109,3,7,2847.5,96.96,0.483,7.0,23.225,3.4,1,0.615,3
110,3,7,2848.0,95.54,0.486,9.4,21.305,3.5,1,0.59,3
111,3,7,2848.5,88.67,0.493,13.2,17.235,3.4,1,0.564,3
112,3,7,2849.0,88.54,0.501,13.1,16.71,3.5,1,0.5379999999999999,3
113,3,7,2849.5,92.22,0.501,11.2,18.675,3.5,1,0.513,3
114,3,7,2850.0,89.67,0.491,4.9,20.405,3.3,1,0.48700000000000004,2
115,3,7,2850.5,91.17,0.47,2.2,20.3,3.1,1,0.462,2
116,3,7,2851.0,83.62,0.435,5.1,17.16,2.8,1,0.436,2
117,3,7,2851.5,85.0,0.401,8.3,15.87,2.8,1,0.41,2
118,3,7,2852.0,77.7,0.371,7.5,16.85,2.9,1,0.385,2
119,3,7,2852.5,74.29,0.33399999999999996,6.1,17.3,2.9,1,0.359,2
120,3,7,2853.0,70.21,0.307,5.4,17.57,2.9,1,0.33299999999999996,2
121,3,7,2853.5,76.38,0.297,4.7,17.195,3.0,1,0.308,2
122,3,7,2854.0,76.28,0.301,4.4,16.415,3.0,1,0.282,2
123,3,7,2854.5,69.04,0.314,4.1,14.19,3.2,1,0.256,2
124,3,7,2855.0,78.11,0.33799999999999997,5.8,13.25,3.4,1,0.231,2
125,3,7,2855.5,84.18,0.377,6.8,15.72,3.8,1,0.205,3
126,3,7,2856.0,85.85,0.428,6.6,20.045,3.5,1,0.179,3
127,3,7,2856.5,89.6,0.47,4.4,20.455,3.3,1,0.154,3
128,3,7,2857.0,80.61,0.509,3.6,16.78,3.1,1,0.128,3
129,3,7,2857.5,79.36,0.539,7.5,11.78,3.3,1,0.10300000000000001,3
130,3,7,2858.0,83.05,0.5479999999999999,8.1,14.545,3.7,1,0.077,3
131,3,7,2858.5,95.0,0.556,9.2,23.83,3.6,1,0.051,3
132,2,7,2859.0,85.04,0.629,6.4,26.67,3.1,2,1.0,5
133,2,7,2859.5,46.18,0.6679999999999999,4.3,16.61,3.1,2,0.9440000000000001,5
134,2,7,2860.0,34.53,0.703,4.9,8.22,3.5,2,0.889,5
135,2,7,2860.5,35.19,0.7440000000000001,7.9,4.71,4.6,2,0.833,5
136,2,7,2861.0,27.85,0.8029999999999999,7.8,4.24,4.8,2,0.778,8
137,2,7,2861.5,23.48,0.9129999999999999,6.0,4.22,4.7,2,0.722,8
138,2,7,2862.0,20.42,1.031,5.0,3.785,4.6,2,0.667,8
139,2,7,2862.5,20.55,1.147,4.1,3.145,5.1,2,0.611,8
140,2,7,2863.0,19.99,1.2919999999999998,4.7,2.195,5.4,2,0.556,8
141,2,7,2863.5,21.18,1.405,5.2,1.59,5.9,2,0.5,8
142,2,7,2864.0,18.63,1.452,4.7,1.755,6.1,2,0.444,8
143,2,7,2864.5,29.41,1.465,4.2,2.36,6.0,2,0.389,6
144,2,7,2865.0,43.09,1.48,3.1,3.11,5.8,2,0.33299999999999996,6
145,2,7,2865.5,48.95,1.479,4.2,2.95,5.6,2,0.278,6
