Depth,GR,Porosity,Caliper,Ring resistivity,MLT2_all_original,SD_all_original
4.1388,91.76512485,0.7924821,26.577798,0.6812,1.996561526,0.865697998
4.2912,91.79565374,0.792422434,26.159968,0.6826,1.932333163,0.866629922
4.4436,93.51260091,0.793198091,25.914604,0.6819,1.968189278,0.865522299
4.596,95.042114,0.785680191,26.548334,0.7107,1.977933439,0.865477787
4.7484,94.90952632,0.78150358,27.04592,0.7157,1.937783238,0.866366023
4.9008,96.20631526,0.782696897,26.815796,0.6928,1.956472675,0.865721054
5.0532,101.2109341,0.785441527,27.146758,0.6613,1.975696649,0.865478304
5.2056,105.1509251,0.786038186,26.992072,0.7366,1.968322893,0.865520947
5.358,103.6618346,0.787768496,27.026108,0.7402,1.981201858,0.865487427
5.5104,101.7364574,0.781742243,26.667714,0.7147,1.969500111,0.865509925
5.6628,104.4521839,0.780847255,26.337514,0.7214,1.989209896,0.865563211
5.8152,110.4610807,0.778818616,26.099008,0.7246,2.018882329,0.866489372
5.9676,118.8094862,0.784486874,25.981406,0.7025,2.076052559,0.871125364
6.12,119.3146799,0.782279236,25.826466,0.6742,2.052134774,0.868731224
6.2724,118.1700625,0.775119332,25.60066,0.7078,2.077798345,0.871325567
6.4248,112.6062044,0.767124105,25.361646,0.7266,2.135991723,0.879957136
6.5772,109.7998712,0.759486874,24.7904,0.7369,2.118037409,0.87689126
6.7296,111.6087851,0.754534606,24.665178,0.7315,2.127285526,0.878425975
6.882,117.2398656,0.747613365,24.609044,0.7337,2.137710125,0.880269213
7.0344,123.7915323,0.746718377,23.870666,0.7463,2.160136081,0.884637946
7.1868,126.3099429,0.74451074,23.656036,0.747,2.179105932,0.888758522
7.3392,122.4942719,0.750775656,23.292308,0.7392,2.179897857,0.888938929
7.4916,117.0027717,0.754892601,21.987256,0.7302,2.211707631,0.89673385
7.644,111.374496,0.760560859,24.484076,0.7104,2.185787192,0.890301518
7.7964,106.3008479,0.757458234,23.734776,0.7312,2.218514625,0.89853939
7.9488,103.5914179,0.750298329,25.63495,0.7636,2.216626319,0.898033714
8.1012,105.9434166,0.742541766,24.78913,0.7654,2.186502389,0.890469501
8.2536,111.9771565,0.738544153,24.957786,0.8277,2.202928721,0.89447637
8.406,112.6591867,0.728639618,25.750012,0.747,2.179053978,0.88874671
8.5584,111.7992761,0.72052506,25.588214,0.7166,2.152251122,0.883039446
8.7108,109.3513743,0.721897375,25.493472,0.7195,2.168277026,0.886358916
8.8632,114.3908451,0.727088305,25.362662,0.7433,2.156723151,0.883937771
