Depth,GR,Caliper,Ring resistivity,Porosity
0,,21.59,0.307,0.953685185
0.1524,70.50293652,21.59,0.3304,0.930253086
0.3048,85.6152284,21.59,0.435,0.896783951
0.4572,91.10488021,21.59,0.4635,0.855246914
0.6096,105.7285845,21.59,0.5064,0.827179012
0.762,104.8949372,21.59,0.526,0.81495679
0.9144,105.5029329,21.59,0.5448,0.818765432
1.0668,95.44948988,21.59,0.5697,0.818765432
1.2192,93.48054476,21.59,0.5643,0.818765432
1.3716,82.93135178,21.59,0.5728,0.818765432
1.524,80.66638827,21.59,0.5856,0.818765432
1.6764,75.20560528,21.59,0.5622,0.818765432
1.8288,76.87679661,21.59,0.5336,0.818765432
1.9812,78.56471748,21.59,0.5416,0.798438272
2.1336,79.49543595,21.59,0.5466,0.823753086
2.286,79.0660572,21.59,0.5702,0.836395062
2.4384,78.66649988,21.59,0.5584,0.838549383
2.5908,78.29301285,21.59,0.5702,0.837401235
2.7432,77.9425041,21.59,0.5601,0.837401235
2.8956,86.03549894,21.59,0.573,0.837401235
3.048,91.98171329,21.59,0.5995,0.837401235
3.2004,100.5841942,21.59,0.6115,0.784141975
3.3528,92.77631088,21.59,0.6033,0.764277778
3.5052,91.41119367,21.59,0.6178,0.811561728
3.6576,80.47350614,21.59,0.6375,0.816148148
3.81,77.57299745,21.59,0.6136,0.817679012
3.9624,70.44164898,21.59,0.6031,0.817679012
4.1148,82.23143711,21.59,0.6135,0.817679012
4.2672,88.70852502,21.59,0.6457,0.817679012
4.4196,97.77326316,21.59,0.6793,0.817679012
4.572,99.68583366,21.59,0.6788,0.817679012
4.7244,109.5615075,21.59,0.6786,0.817679012
4.8768,116.799926,21.59,0.7003,0.817679012
5.0292,119.2588903,21.59,0.6671,0.817679012
5.1816,118.9797394,21.59,0.6876,0.817679012
5.334,118.7093062,21.59,0.7038,0.817679012
5.4864,118.4470809,21.59,0.7132,0.817679012
5.6388,118.1925963,21.59,0.6939,0.817679012
5.7912,117.945424,21.59,0.7181,0.817679012
5.9436,117.7051694,21.59,0.7176,0.817679012
6.096,117.4714688,21.59,0.753,0.817679012
6.2484,117.2439862,21.59,0.7609,0.817679012
6.4008,117.0224103,21.59,0.7242,0.817679012
6.5532,,21.59,0.7465,0.817679012
6.7056,,21.59,0.7548,0.817679012
6.858,,21.59,0.7612,0.817679012
7.0104,,21.59,0.7609,0.817679012
7.1628,,21.59,0.7529,0.817679012
7.3152,,21.59,0.7563,0.817679012
7.4676,,21.59,0.7602,0.817679012
7.62,,21.59,0.7752,0.817679012
7.7724,,21.59,0.7764,0.817679012
7.9248,,21.59,0.8074,0.817679012
8.0772,,21.59,0.795,0.817679012
8.2296,,21.59,0.7897,0.817679012
8.382,,21.59,0.7521,0.817679012
8.5344,,21.59,0.7759,0.817679012
8.6868,,21.59,0.772,0.817679012
8.8392,,21.59,0.752,0.817679012
8.9916,,21.59,0.7565,0.817679012
9.144,,21.59,0.7498,0.817679012
9.2964,,21.59,0.7492,0.817679012
9.4488,,21.59,0.7353,0.817679012
9.6012,,21.59,0.7477,0.817679012
9.7536,,21.59,0.7303,0.817679012
9.906,,21.59,0.7439,0.817679012
10.0584,,21.59,0.7403,0.817679012
10.2108,,21.59,0.7869,0.817679012
10.3632,,21.59,0.761,0.817679012
10.5156,,21.59,0.724,0.726709877
10.668,,21.59,0.7294,0.794839506
10.8204,,21.59,0.7639,0.790135802
10.9728,,21.59,0.743,0.790135802
11.1252,,21.59,0.746,0.790135802
11.2776,82.32788685,21.59,0.7354,0.790135802
11.43,90.54626084,21.59,0.7499,0.790135802
11.5824,88.99120773,21.59,0.7674,0.790135802
11.7348,97.389944,21.59,0.7614,0.790135802
11.8872,100.2531207,21.59,0.7649,0.790135802
12.0396,107.3255829,21.59,0.7628,0.790135802
12.192,107.2196583,21.59,0.7901,0.790135802
12.3444,107.1151521,21.59,0.8446,0.790135802
12.4968,107.0120282,21.59,0.8025,0.790135802
12.6492,106.9102518,21.59,0.74,0.790135802
12.8016,106.8097894,21.59,0.7261,0.790135802
